rank,feature_idx,coefficient,abs_coefficient
1,954,8.693427,8.693427
2,615,7.3489623,7.3489623
3,702,7.078703,7.078703
4,701,7.058457,7.058457
5,431,7.006659,7.006659
6,79,6.541571,6.541571
7,444,6.2531714,6.2531714
8,24,6.135872,6.135872
9,758,6.0622315,6.0622315
10,706,6.019621,6.019621
11,64,5.9620895,5.9620895
12,34,5.9572067,5.9572067
13,657,5.89691,5.89691
14,1022,5.892063,5.892063
15,803,5.8512874,5.8512874
16,44,5.8297896,5.8297896
17,441,5.6541963,5.6541963
18,867,5.469502,5.469502
19,696,5.4550366,5.4550366
20,778,5.3952117,5.3952117
21,289,5.3189483,5.3189483
22,474,5.3066173,5.3066173
23,765,5.2883434,5.2883434
24,892,5.2851577,5.2851577
25,130,5.1992555,5.1992555
26,349,5.1609535,5.1609535
27,569,5.13159,5.13159
28,563,5.110723,5.110723
29,816,5.1025543,5.1025543
30,309,5.0640597,5.0640597
31,258,5.060955,5.060955
32,908,5.0540257,5.0540257
33,805,4.9822955,4.9822955
34,876,4.980252,4.980252
35,801,4.9719086,4.9719086
36,577,4.9379277,4.9379277
37,14,4.928717,4.928717
38,353,4.8696327,4.8696327
39,629,4.8469048,4.8469048
40,59,4.832807,4.832807
41,501,4.830047,4.830047
42,509,4.8114867,4.8114867
43,754,4.807406,4.807406
44,339,4.7679095,4.7679095
45,291,4.7589664,4.7589664
46,734,4.731582,4.731582
47,91,4.7273307,4.7273307
48,941,4.7200894,4.7200894
49,586,4.7082386,4.7082386
50,435,4.697817,4.697817
51,989,4.66079,4.66079
52,958,4.6518927,4.6518927
53,926,4.6328588,4.6328588
54,445,4.62396,4.62396
55,614,4.621987,4.621987
56,966,4.6200643,4.6200643
57,199,4.609236,4.609236
58,363,4.6067967,4.6067967
59,42,4.5985446,4.5985446
60,653,4.5954814,4.5954814
61,671,4.58683,4.58683
62,661,4.582304,4.582304
63,284,4.5793204,4.5793204
64,1009,4.570558,4.570558
65,290,4.5607467,4.5607467
66,769,4.560633,4.560633
67,607,4.5407004,4.5407004
68,555,4.5373416,4.5373416
69,360,4.5341487,4.5341487
70,213,4.5306497,4.5306497
71,503,4.516002,4.516002
72,756,4.5006995,4.5006995
73,558,4.4631944,4.4631944
74,948,4.461126,4.461126
75,893,4.4442925,4.4442925
76,574,4.427761,4.427761
77,850,4.4159784,4.4159784
78,275,4.401242,4.401242
79,334,4.400265,4.400265
80,510,4.380881,4.380881
81,328,4.371429,4.371429
82,640,4.353795,4.353795
83,245,4.349793,4.349793
84,578,4.3430853,4.3430853
85,800,4.317887,4.317887
86,225,4.315822,4.315822
87,464,4.3079047,4.3079047
88,986,4.3038044,4.3038044
89,393,4.289325,4.289325
90,237,4.2357116,4.2357116
91,699,4.2300344,4.2300344
92,428,4.2271876,4.2271876
93,556,4.2226453,4.2226453
94,168,4.218378,4.218378
95,66,4.2176976,4.2176976
96,96,4.216601,4.216601
97,261,4.199174,4.199174
98,717,4.1944547,4.1944547
99,834,4.1819186,4.1819186
100,806,4.1745305,4.1745305
