rank,feature_idx,coefficient,abs_coefficient
1,45,-23.350443,23.350443
2,294,-21.380121,21.380121
3,100,-16.574982,16.574982
4,329,-15.288173,15.288173
5,548,-15.058925,15.058925
6,11,-14.8611765,14.8611765
7,696,-14.814907,14.814907
8,129,-11.933017,11.933017
9,18,-11.382682,11.382682
10,39,-11.124285,11.124285
11,154,-11.111374,11.111374
12,105,-11.064436,11.064436
13,92,-10.234363,10.234363
14,24,-10.231685,10.231685
15,846,-9.725126,9.725126
16,80,9.522907,9.522907
17,60,-9.304892,9.304892
18,21,-9.260651,9.260651
19,57,8.474859,8.474859
20,8,8.297726,8.297726
21,19,-8.1206255,8.1206255
22,15,-7.862944,7.862944
23,5,7.478211,7.478211
24,71,7.2991724,7.2991724
25,79,-7.146862,7.146862
26,240,-7.1243334,7.1243334
27,9,-6.7218623,6.7218623
28,178,-6.65909,6.65909
29,118,-6.0560203,6.0560203
30,543,-5.8140717,5.8140717
31,251,5.0703125,5.0703125
32,214,-4.9644675,4.9644675
33,451,-4.8438807,4.8438807
34,53,4.784218,4.784218
35,62,4.76706,4.76706
36,755,-4.5490756,4.5490756
37,309,-4.3698688,4.3698688
38,344,-4.3279886,4.3279886
39,665,-4.271961,4.271961
40,164,4.245147,4.245147
41,225,-4.242217,4.242217
42,56,4.1481295,4.1481295
43,106,-4.1296363,4.1296363
44,149,-4.04428,4.04428
45,933,3.986433,3.986433
46,266,3.8401392,3.8401392
47,446,-3.7654786,3.7654786
48,690,-3.6523383,3.6523383
49,174,3.6499515,3.6499515
50,662,3.6090474,3.6090474
51,120,3.581477,3.581477
52,180,-3.5456371,3.5456371
53,10,3.5264122,3.5264122
54,51,3.4726224,3.4726224
55,507,-3.4690406,3.4690406
56,202,3.4463775,3.4463775
57,156,3.4149938,3.4149938
58,785,-3.3547633,3.3547633
59,52,-3.3534641,3.3534641
60,55,3.3160524,3.3160524
61,44,-3.2539458,3.2539458
62,25,-3.1033978,3.1033978
63,63,3.0774856,3.0774856
64,172,3.065728,3.065728
65,405,-3.0456965,3.0456965
66,432,-3.036292,3.036292
67,864,-3.0297296,3.0297296
68,167,3.0086713,3.0086713
69,547,2.9484994,2.9484994
70,134,2.9479735,2.9479735
71,471,-2.9365983,2.9365983
72,131,-2.92439,2.92439
73,210,2.9087732,2.9087732
74,28,-2.9014215,2.9014215
75,545,2.8742268,2.8742268
76,850,-2.8296041,2.8296041
77,47,2.8260257,2.8260257
78,415,2.7842913,2.7842913
79,917,2.7594066,2.7594066
80,226,2.7265232,2.7265232
81,67,-2.6798892,2.6798892
82,182,2.6568751,2.6568751
83,96,-2.6277752,2.6277752
84,779,-2.5336497,2.5336497
85,313,-2.4967349,2.4967349
86,625,-2.493421,2.493421
87,186,2.477866,2.477866
88,923,2.447991,2.447991
89,112,2.2658029,2.2658029
90,102,2.2567992,2.2567992
91,498,-2.2146358,2.2146358
92,119,-2.1960537,2.1960537
93,592,2.1720624,2.1720624
94,86,2.1109834,2.1109834
95,663,2.0991666,2.0991666
96,916,-2.0660117,2.0660117
97,83,2.0583165,2.0583165
98,593,-2.0521724,2.0521724
99,46,-2.0387287,2.0387287
100,49,2.03395,2.03395
