rank,feature_idx,coefficient,abs_coefficient
1,204,2.2234502,2.2234502
2,455,1.8541667,1.8541667
3,799,1.792237,1.792237
4,819,1.7643391,1.7643391
5,78,1.74961,1.74961
6,440,1.7213037,1.7213037
7,145,1.7049347,1.7049347
8,982,1.6749904,1.6749904
9,104,1.6556088,1.6556088
10,124,1.6504438,1.6504438
11,346,1.6373367,1.6373367
12,125,1.6320305,1.6320305
13,302,1.627134,1.627134
14,675,1.6178776,1.6178776
15,681,1.5971178,1.5971178
16,599,1.5899093,1.5899093
17,97,1.580024,1.580024
18,783,1.5678124,1.5678124
19,316,1.561586,1.561586
20,564,1.5555918,1.5555918
21,525,1.5495548,1.5495548
22,432,1.5348903,1.5348903
23,279,1.5333538,1.5333538
24,1000,1.5326948,1.5326948
25,658,1.5189927,1.5189927
26,352,1.4886343,1.4886343
27,245,1.4730165,1.4730165
28,460,1.4719967,1.4719967
29,421,1.4668767,1.4668767
30,489,1.4626507,1.4626507
31,113,1.4594434,1.4594434
32,46,1.4515507,1.4515507
33,324,1.4455172,1.4455172
34,922,1.443454,1.443454
35,133,1.4254954,1.4254954
36,948,1.4239258,1.4239258
37,543,1.4097369,1.4097369
38,375,1.4015143,1.4015143
39,114,1.3975785,1.3975785
40,938,1.3888257,1.3888257
41,694,1.3868773,1.3868773
42,626,1.3865764,1.3865764
43,991,1.3864734,1.3864734
44,896,1.3856983,1.3856983
45,430,1.379003,1.379003
46,870,1.3771446,1.3771446
47,478,1.3764985,1.3764985
48,233,1.3703384,1.3703384
49,107,1.3655508,1.3655508
50,282,1.3632523,1.3632523
51,161,1.3615421,1.3615421
52,739,1.344303,1.344303
53,706,1.343717,1.343717
54,997,1.3340566,1.3340566
55,288,1.3336521,1.3336521
56,683,1.3315915,1.3315915
57,815,1.3283751,1.3283751
58,287,1.3279585,1.3279585
59,91,1.3276176,1.3276176
60,822,1.3202109,1.3202109
61,877,1.3200396,1.3200396
62,631,1.3157405,1.3157405
63,378,1.3139808,1.3139808
64,612,1.3018007,1.3018007
65,953,1.2997919,1.2997919
66,44,1.2898607,1.2898607
67,674,1.2839096,1.2839096
68,687,1.2784426,1.2784426
69,973,1.275992,1.275992
70,827,1.2757415,1.2757415
71,937,1.2741215,1.2741215
72,409,1.2698276,1.2698276
73,176,1.2697817,1.2697817
74,716,1.2689416,1.2689416
75,475,1.2654892,1.2654892
76,14,1.264344,1.264344
77,488,1.2624626,1.2624626
78,303,1.2588648,1.2588648
79,746,1.2580765,1.2580765
80,665,1.2570302,1.2570302
81,143,1.2563244,1.2563244
82,617,1.2543162,1.2543162
83,615,1.2542387,1.2542387
84,300,1.2538862,1.2538862
85,138,1.2522459,1.2522459
86,58,1.2480278,1.2480278
87,999,1.247505,1.247505
88,146,1.2463866,1.2463866
89,224,1.243836,1.243836
90,57,1.2419946,1.2419946
91,512,1.2419158,1.2419158
92,0,1.2385113,1.2385113
93,884,1.2299573,1.2299573
94,493,1.2276404,1.2276404
95,727,1.2254674,1.2254674
96,825,1.220843,1.220843
97,235,1.2138239,1.2138239
98,207,1.2133484,1.2133484
99,777,1.2133211,1.2133211
100,530,1.2085727,1.2085727
