rank,feature_idx,coefficient,abs_coefficient
1,63,5.7797623,5.7797623
2,0,4.0459747,4.0459747
3,7,3.175533,3.175533
4,311,2.9835024,2.9835024
5,60,2.8125973,2.8125973
6,251,2.5665436,2.5665436
7,67,2.525421,2.525421
8,197,2.448722,2.448722
9,595,2.3594248,2.3594248
10,182,2.3540692,2.3540692
11,80,2.3049166,2.3049166
12,556,2.2864835,2.2864835
13,45,2.2709222,2.2709222
14,10,2.1553586,2.1553586
15,14,2.013586,2.013586
16,49,1.9778718,1.9778718
17,220,1.9579145,1.9579145
18,547,1.8112054,1.8112054
19,625,1.798603,1.798603
20,105,1.7333704,1.7333704
21,134,1.6945797,1.6945797
22,23,1.6341481,1.6341481
23,266,1.6332823,1.6332823
24,50,1.6064142,1.6064142
25,127,1.5843676,1.5843676
26,8,1.5723027,1.5723027
27,543,1.5509778,1.5509778
28,156,1.539275,1.539275
29,3,1.5197386,1.5197386
30,148,1.5152923,1.5152923
31,514,1.509397,1.509397
32,226,1.5042834,1.5042834
33,130,1.4978548,1.4978548
34,84,1.492736,1.492736
35,875,1.4750223,1.4750223
36,124,1.4679824,1.4679824
37,933,1.4664959,1.4664959
38,431,1.4179068,1.4179068
39,245,1.4171896,1.4171896
40,88,1.4046954,1.4046954
41,818,1.3782955,1.3782955
42,1008,1.3759103,1.3759103
43,294,1.3375715,1.3375715
44,157,1.3285912,1.3285912
45,330,1.3175434,1.3175434
46,13,1.2826914,1.2826914
47,5,1.2603105,1.2603105
48,213,1.2310628,1.2310628
49,115,1.2247602,1.2247602
50,146,1.2245853,1.2245853
51,846,1.223544,1.223544
52,170,1.2077967,1.2077967
53,766,1.2053288,1.2053288
54,455,1.1992835,1.1992835
55,102,1.1947173,1.1947173
56,526,1.1903123,1.1903123
57,27,1.1883402,1.1883402
58,202,1.1534901,1.1534901
59,713,1.1297152,1.1297152
60,745,1.1294532,1.1294532
61,813,1.1273285,1.1273285
62,234,1.0870205,1.0870205
63,31,1.0821995,1.0821995
64,41,1.0774633,1.0774633
65,128,1.0715622,1.0715622
66,429,1.0704025,1.0704025
67,83,1.0394619,1.0394619
68,692,1.032118,1.032118
69,186,1.0212429,1.0212429
70,229,1.018773,1.018773
71,42,1.0043918,1.0043918
72,470,1.0020481,1.0020481
73,112,1.0013629,1.0013629
74,205,0.9901061,0.9901061
75,916,0.9831791,0.9831791
76,120,0.9829769,0.9829769
77,106,0.9683854,0.9683854
78,28,0.9499051,0.9499051
79,696,0.94599515,0.94599515
80,834,0.9368244,0.9368244
81,44,0.9263224,0.9263224
82,877,0.9029224,0.9029224
83,192,0.89376456,0.89376456
84,219,0.89255404,0.89255404
85,597,0.8910505,0.8910505
86,654,0.88456434,0.88456434
87,918,0.87968403,0.87968403
88,258,0.8751736,0.8751736
89,110,0.86861163,0.86861163
90,523,0.8587491,0.8587491
91,462,0.8457888,0.8457888
92,904,0.8453074,0.8453074
93,273,0.8417177,0.8417177
94,502,0.82657355,0.82657355
95,386,0.8250122,0.8250122
96,111,0.81960136,0.81960136
97,434,0.8177967,0.8177967
98,895,0.8118544,0.8118544
99,30,0.80404073,0.80404073
100,589,0.8011792,0.8011792
