rank,feature_idx,coefficient,abs_coefficient
1,12,7.068746,7.068746
2,5,5.3234215,5.3234215
3,105,4.949731,4.949731
4,3,3.3390238,3.3390238
5,4,2.7974846,2.7974846
6,44,2.6447372,2.6447372
7,8,2.6004944,2.6004944
8,18,2.5256152,2.5256152
9,94,2.3020701,2.3020701
10,48,2.0840118,2.0840118
11,11,2.0431886,2.0431886
12,20,1.991449,1.991449
13,75,1.9190489,1.9190489
14,15,1.9082069,1.9082069
15,39,1.8795159,1.8795159
16,113,1.8530958,1.8530958
17,108,1.7570896,1.7570896
18,489,1.7371212,1.7371212
19,267,1.6852056,1.6852056
20,53,1.6117917,1.6117917
21,45,1.5933625,1.5933625
22,76,1.5903724,1.5903724
23,222,1.5695927,1.5695927
24,1019,1.5046809,1.5046809
25,22,1.4012343,1.4012343
26,510,1.3904883,1.3904883
27,1,1.3619505,1.3619505
28,313,1.2575344,1.2575344
29,9,1.2427003,1.2427003
30,943,1.2412709,1.2412709
31,59,1.2050527,1.2050527
32,719,1.1732905,1.1732905
33,67,1.135852,1.135852
34,263,1.1178969,1.1178969
35,215,1.0592405,1.0592405
36,99,1.0547043,1.0547043
37,408,1.0509285,1.0509285
38,2,1.0213377,1.0213377
39,14,0.9787973,0.9787973
40,78,0.9415397,0.9415397
41,1799,0.9324768,0.9324768
42,422,0.8764203,0.8764203
43,132,0.8692605,0.8692605
44,103,0.8511771,0.8511771
45,13,0.8169588,0.8169588
46,258,0.7994401,0.7994401
47,494,0.7867752,0.7867752
48,32,0.7356294,0.7356294
49,1704,0.7208333,0.7208333
50,118,0.7043114,0.7043114
51,462,0.6892176,0.6892176
52,70,0.67366064,0.67366064
53,151,0.65863955,0.65863955
54,153,0.6546431,0.6546431
55,83,0.6352211,0.6352211
56,281,0.63395655,0.63395655
57,376,0.6338285,0.6338285
58,0,0.6250822,0.6250822
59,213,0.6187958,0.6187958
60,31,0.61465544,0.61465544
61,1241,0.58280754,0.58280754
62,126,0.5669996,0.5669996
63,1805,0.5169808,0.5169808
64,33,0.5024337,0.5024337
65,437,0.50118065,0.50118065
66,932,0.47965685,0.47965685
67,357,0.47685224,0.47685224
68,1902,0.47597143,0.47597143
69,6,0.46987388,0.46987388
70,129,0.46273026,0.46273026
71,152,0.45533437,0.45533437
72,260,0.4459005,0.4459005
73,19,0.43989703,0.43989703
74,724,0.4385254,0.4385254
75,1361,0.4358046,0.4358046
76,202,0.41698295,0.41698295
77,147,0.40868616,0.40868616
78,155,0.40779215,0.40779215
79,56,0.39252466,0.39252466
80,349,0.38930005,0.38930005
81,166,0.3855075,0.3855075
82,82,0.38254708,0.38254708
83,26,0.37588197,0.37588197
84,370,0.37493187,0.37493187
85,1947,0.37293395,0.37293395
86,87,0.36754498,0.36754498
87,1148,0.3673868,0.3673868
88,106,0.3641241,0.3641241
89,1301,0.35714006,0.35714006
90,60,0.35123786,0.35123786
91,300,0.3482123,0.3482123
92,55,0.34066853,0.34066853
93,29,0.33664927,0.33664927
94,463,0.32653853,0.32653853
95,10,0.3248691,0.3248691
96,206,0.3228268,0.3228268
97,434,0.2982776,0.2982776
98,25,0.2900116,0.2900116
99,498,0.289474,0.289474
100,1309,0.27803594,0.27803594
