rank,feature_idx,coefficient,abs_coefficient
1,8,3.946331,3.946331
2,11,3.2919724,3.2919724
3,75,3.0319347,3.0319347
4,126,2.6519117,2.6519117
5,3,2.4897223,2.4897223
6,6,2.383154,2.383154
7,15,2.236697,2.236697
8,1,2.2149026,2.2149026
9,510,2.069001,2.069001
10,222,1.9504747,1.9504747
11,20,1.7930399,1.7930399
12,12,1.7240585,1.7240585
13,4,1.6038836,1.6038836
14,1431,1.5910697,1.5910697
15,108,1.5201005,1.5201005
16,44,1.4645904,1.4645904
17,19,1.4594163,1.4594163
18,33,1.4295721,1.4295721
19,26,1.3247589,1.3247589
20,357,1.3183901,1.3183901
21,113,1.2990698,1.2990698
22,67,1.245592,1.245592
23,14,1.2341185,1.2341185
24,129,1.2238204,1.2238204
25,95,1.208851,1.208851
26,70,1.1749932,1.1749932
27,494,1.1729367,1.1729367
28,325,1.084548,1.084548
29,258,1.0246552,1.0246552
30,263,1.0225878,1.0225878
31,10,1.0029424,1.0029424
32,45,0.98762363,0.98762363
33,31,0.98558074,0.98558074
34,152,0.9756615,0.9756615
35,76,0.93813705,0.93813705
36,105,0.93274,0.93274
37,16,0.9273894,0.9273894
38,498,0.8985355,0.8985355
39,99,0.88636166,0.88636166
40,1877,0.8595918,0.8595918
41,36,0.80195904,0.80195904
42,1947,0.79287386,0.79287386
43,94,0.78248215,0.78248215
44,489,0.729492,0.729492
45,58,0.7239075,0.7239075
46,422,0.6997959,0.6997959
47,40,0.6623872,0.6623872
48,13,0.6590995,0.6590995
49,267,0.6439541,0.6439541
50,74,0.59452575,0.59452575
51,1148,0.5878596,0.5878596
52,850,0.58634144,0.58634144
53,127,0.56546026,0.56546026
54,85,0.5617323,0.5617323
55,21,0.55712306,0.55712306
56,202,0.53398424,0.53398424
57,432,0.5096997,0.5096997
58,276,0.48759016,0.48759016
59,215,0.4775523,0.4775523
60,1975,0.47389504,0.47389504
61,51,0.42199168,0.42199168
62,109,0.41012025,0.41012025
63,18,0.40403426,0.40403426
64,155,0.40090868,0.40090868
65,57,0.38265777,0.38265777
66,481,0.36955228,0.36955228
67,1805,0.36673048,0.36673048
68,463,0.3509873,0.3509873
69,393,0.3232778,0.3232778
70,1799,0.3208156,0.3208156
71,79,0.3124424,0.3124424
72,39,0.3051434,0.3051434
73,78,0.30250385,0.30250385
74,9,0.29642436,0.29642436
75,434,0.2915722,0.2915722
76,22,0.27889624,0.27889624
77,313,0.24965991,0.24965991
78,87,0.244819,0.244819
79,55,0.23971362,0.23971362
80,470,0.23626941,0.23626941
81,1241,0.23556648,0.23556648
82,349,0.23109941,0.23109941
83,1019,0.2263285,0.2263285
84,1704,0.22517622,0.22517622
85,943,0.21331318,0.21331318
86,424,0.20993072,0.20993072
87,408,0.20697834,0.20697834
88,1301,0.20201276,0.20201276
89,103,0.19414814,0.19414814
90,460,0.1933323,0.1933323
91,260,0.19238007,0.19238007
92,5,0.18490005,0.18490005
93,83,0.1794275,0.1794275
94,485,0.17498858,0.17498858
95,48,0.17477293,0.17477293
96,452,0.15914634,0.15914634
97,383,0.14902939,0.14902939
98,929,0.14148143,0.14148143
99,958,0.14021982,0.14021982
100,411,0.12859601,0.12859601
