rank,feature_idx,coefficient,abs_coefficient
1,177,3.046686,3.046686
2,877,3.039749,3.039749
3,724,2.897344,2.897344
4,1014,2.7617214,2.7617214
5,557,2.7141025,2.7141025
6,789,2.7051127,2.7051127
7,34,2.6930277,2.6930277
8,555,2.6791263,2.6791263
9,504,2.6464784,2.6464784
10,927,2.6062186,2.6062186
11,51,2.584299,2.584299
12,857,2.566971,2.566971
13,762,2.56235,2.56235
14,174,2.555342,2.555342
15,672,2.523001,2.523001
16,774,2.5094354,2.5094354
17,395,2.4908135,2.4908135
18,277,2.4669516,2.4669516
19,465,2.458794,2.458794
20,111,2.447785,2.447785
21,670,2.4398952,2.4398952
22,383,2.438701,2.438701
23,397,2.4298377,2.4298377
24,371,2.4219193,2.4219193
25,687,2.4202156,2.4202156
26,57,2.40404,2.40404
27,727,2.396766,2.396766
28,337,2.3919804,2.3919804
29,287,2.3754504,2.3754504
30,104,2.358194,2.358194
31,252,2.355642,2.355642
32,741,2.352632,2.352632
33,941,2.3491876,2.3491876
34,562,2.3457127,2.3457127
35,39,2.3394623,2.3394623
36,524,2.318913,2.318913
37,144,2.3135579,2.3135579
38,1010,2.2962909,2.2962909
39,431,2.2889094,2.2889094
40,682,2.2694168,2.2694168
41,617,2.2478902,2.2478902
42,340,2.2354398,2.2354398
43,140,2.2191157,2.2191157
44,744,2.21763,2.21763
45,519,2.2082353,2.2082353
46,46,2.2004507,2.2004507
47,621,2.1942554,2.1942554
48,386,2.1836343,2.1836343
49,236,2.1698186,2.1698186
50,852,2.1681905,2.1681905
51,10,2.1609142,2.1609142
52,244,2.1327724,2.1327724
53,289,2.118364,2.118364
54,321,2.1182115,2.1182115
55,478,2.112082,2.112082
56,1016,2.100401,2.100401
57,528,2.089519,2.089519
58,696,2.0856433,2.0856433
59,253,2.0802863,2.0802863
60,307,2.0778434,2.0778434
61,17,2.0753925,2.0753925
62,827,2.074924,2.074924
63,767,2.0645757,2.0645757
64,323,2.063451,2.063451
65,619,2.0626726,2.0626726
66,259,2.0594108,2.0594108
67,1018,2.049137,2.049137
68,385,2.046494,2.046494
69,739,2.043841,2.043841
70,765,2.039963,2.039963
71,935,2.0389159,2.0389159
72,902,2.0349758,2.0349758
73,219,2.0319927,2.0319927
74,591,2.030336,2.030336
75,361,2.0273738,2.0273738
76,424,2.0265172,2.0265172
77,186,2.0229475,2.0229475
78,332,2.0094168,2.0094168
79,851,2.0038621,2.0038621
80,620,2.003474,2.003474
81,19,1.9999462,1.9999462
82,971,1.9991503,1.9991503
83,940,1.9941052,1.9941052
84,638,1.9939071,1.9939071
85,242,1.9922926,1.9922926
86,324,1.9900559,1.9900559
87,815,1.9892527,1.9892527
88,828,1.9885763,1.9885763
89,217,1.9861466,1.9861466
90,570,1.9860003,1.9860003
91,641,1.9854871,1.9854871
92,563,1.9794837,1.9794837
93,943,1.9788439,1.9788439
94,551,1.971174,1.971174
95,606,1.9690762,1.9690762
96,306,1.9677086,1.9677086
97,514,1.9676988,1.9676988
98,768,1.9639356,1.9639356
99,809,1.959321,1.959321
100,839,1.952156,1.952156
