rank,feature_idx,coefficient,abs_coefficient
1,23,6.634887,6.634887
2,27,6.267397,6.267397
3,21,6.1560097,6.1560097
4,46,6.1220403,6.1220403
5,434,5.578192,5.578192
6,205,5.325725,5.325725
7,1,5.00003,5.00003
8,140,4.731463,4.731463
9,121,4.5980988,4.5980988
10,17,4.3410983,4.3410983
11,78,4.2396197,4.2396197
12,101,4.2221317,4.2221317
13,0,4.097248,4.097248
14,4,4.0692487,4.0692487
15,108,3.9937184,3.9937184
16,98,3.9247448,3.9247448
17,8,3.9188511,3.9188511
18,22,3.915116,3.915116
19,234,3.7050278,3.7050278
20,448,3.646508,3.646508
21,94,3.5731595,3.5731595
22,160,3.5595067,3.5595067
23,223,3.5465376,3.5465376
24,198,3.4446049,3.4446049
25,37,3.4380093,3.4380093
26,35,3.3875978,3.3875978
27,186,3.3730328,3.3730328
28,47,3.3470547,3.3470547
29,38,3.336975,3.336975
30,188,3.2283432,3.2283432
31,129,3.1008084,3.1008084
32,400,3.0876064,3.0876064
33,102,2.9589195,2.9589195
34,784,2.7765198,2.7765198
35,13,2.7659378,2.7659378
36,395,2.7527695,2.7527695
37,437,2.669985,2.669985
38,106,2.6551812,2.6551812
39,292,2.6505704,2.6505704
40,387,2.5687265,2.5687265
41,118,2.5362294,2.5362294
42,28,2.531307,2.531307
43,68,2.5158372,2.5158372
44,492,2.5091016,2.5091016
45,1511,2.4694173,2.4694173
46,1470,2.4588609,2.4588609
47,489,2.4478064,2.4478064
48,16,2.4450624,2.4450624
49,14,2.4244802,2.4244802
50,87,2.4145281,2.4145281
51,51,2.4054527,2.4054527
52,265,2.3919742,2.3919742
53,304,2.3899271,2.3899271
54,216,2.272602,2.272602
55,392,2.2563102,2.2563102
56,203,2.2500784,2.2500784
57,62,2.226174,2.226174
58,365,2.2025607,2.2025607
59,36,2.152414,2.152414
60,187,2.13112,2.13112
61,390,2.1279354,2.1279354
62,642,2.1075478,2.1075478
63,491,2.072639,2.072639
64,80,2.0357816,2.0357816
65,1644,2.0135982,2.0135982
66,143,2.005817,2.005817
67,110,2.0037978,2.0037978
68,77,1.9796795,1.9796795
69,252,1.9062635,1.9062635
70,44,1.9033362,1.9033362
71,353,1.8766972,1.8766972
72,250,1.8706318,1.8706318
73,221,1.8531065,1.8531065
74,41,1.8482805,1.8482805
75,3,1.8480382,1.8480382
76,1016,1.8443722,1.8443722
77,689,1.814334,1.814334
78,50,1.8048296,1.8048296
79,26,1.7911315,1.7911315
80,82,1.7796783,1.7796783
81,258,1.769925,1.769925
82,511,1.7430735,1.7430735
83,867,1.7278057,1.7278057
84,422,1.7087148,1.7087148
85,1883,1.701142,1.701142
86,15,1.6914787,1.6914787
87,70,1.6808218,1.6808218
88,248,1.6733907,1.6733907
89,475,1.6610848,1.6610848
90,438,1.6603318,1.6603318
91,52,1.659932,1.659932
92,1345,1.6596323,1.6596323
93,510,1.6583228,1.6583228
94,84,1.6571151,1.6571151
95,1639,1.6320791,1.6320791
96,1396,1.6241146,1.6241146
97,173,1.6170579,1.6170579
98,181,1.6144161,1.6144161
99,332,1.6085773,1.6085773
100,767,1.6073147,1.6073147
