rank,feature_idx,coefficient,abs_coefficient
1,463,54.96291,54.96291
2,455,50.84849,50.84849
3,263,40.66527,40.66527
4,96,34.594944,34.594944
5,10,29.201866,29.201866
6,147,28.661743,28.661743
7,260,28.196701,28.196701
8,143,27.922226,27.922226
9,703,22.351448,22.351448
10,1658,22.009598,22.009598
11,53,21.680077,21.680077
12,752,21.420084,21.420084
13,64,20.610773,20.610773
14,194,19.634857,19.634857
15,1175,18.904486,18.904486
16,421,18.474672,18.474672
17,649,17.272316,17.272316
18,62,16.956228,16.956228
19,1,16.718706,16.718706
20,330,16.437735,16.437735
21,22,16.436312,16.436312
22,1979,16.411083,16.411083
23,574,16.27353,16.27353
24,2034,16.180052,16.180052
25,184,15.87987,15.87987
26,1009,15.451756,15.451756
27,29,15.308987,15.308987
28,399,14.801224,14.801224
29,81,14.373985,14.373985
30,46,14.316413,14.316413
31,5,14.196439,14.196439
32,98,14.148418,14.148418
33,40,14.103124,14.103124
34,845,13.9993925,13.9993925
35,180,13.671642,13.671642
36,21,13.298669,13.298669
37,42,13.026355,13.026355
38,79,13.001252,13.001252
39,104,12.930631,12.930631
40,109,12.915921,12.915921
41,316,12.729655,12.729655
42,113,12.5029745,12.5029745
43,27,12.44291,12.44291
44,71,12.428941,12.428941
45,11,12.389674,12.389674
46,3,12.256431,12.256431
47,93,12.240982,12.240982
48,561,12.110306,12.110306
49,1011,11.803696,11.803696
50,267,11.19432,11.19432
51,129,11.117112,11.117112
52,489,11.112954,11.112954
53,255,10.68245,10.68245
54,1143,10.641156,10.641156
55,154,10.562635,10.562635
56,233,10.511209,10.511209
57,1158,10.151416,10.151416
58,445,9.943786,9.943786
59,1253,9.732682,9.732682
60,19,9.656781,9.656781
61,123,9.653417,9.653417
62,758,9.6224785,9.6224785
63,44,9.503453,9.503453
64,319,9.471107,9.471107
65,30,9.445444,9.445444
66,26,9.357116,9.357116
67,14,9.243449,9.243449
68,387,9.076499,9.076499
69,106,8.745677,8.745677
70,32,8.704331,8.704331
71,1712,8.691581,8.691581
72,304,8.604968,8.604968
73,409,8.470046,8.470046
74,12,8.410378,8.410378
75,1664,8.369722,8.369722
76,116,8.348002,8.348002
77,1770,8.327489,8.327489
78,1416,8.311925,8.311925
79,191,8.289337,8.289337
80,452,8.281033,8.281033
81,810,8.273547,8.273547
82,8,8.273181,8.273181
83,1844,8.160872,8.160872
84,2,8.151816,8.151816
85,343,8.128541,8.128541
86,127,8.064198,8.064198
87,1012,8.054973,8.054973
88,436,7.877531,7.877531
89,272,7.8097,7.8097
90,1566,7.587545,7.587545
91,211,7.4135976,7.4135976
92,152,7.3152466,7.3152466
93,43,7.246355,7.246355
94,4,7.191847,7.191847
95,246,7.132809,7.132809
96,284,7.126593,7.126593
97,585,7.0031686,7.0031686
98,266,6.948501,6.948501
99,38,6.911612,6.911612
100,492,6.869145,6.869145
