rank,feature_idx,coefficient,abs_coefficient
1,122,11.936122,11.936122
2,45,10.093225,10.093225
3,730,8.685992,8.685992
4,13,7.210113,7.210113
5,32,6.823751,6.823751
6,62,6.748625,6.748625
7,17,6.5091553,6.5091553
8,60,6.04817,6.04817
9,12,5.8106956,5.8106956
10,10,5.562727,5.562727
11,210,5.3664136,5.3664136
12,2,5.326857,5.326857
13,280,5.1519284,5.1519284
14,170,4.9523444,4.9523444
15,120,4.8938365,4.8938365
16,15,4.7733483,4.7733483
17,208,4.569512,4.569512
18,359,4.4467015,4.4467015
19,95,4.3528066,4.3528066
20,3,4.2093377,4.2093377
21,98,4.174564,4.174564
22,167,4.156808,4.156808
23,1238,4.0062585,4.0062585
24,1962,3.9758244,3.9758244
25,91,3.9458673,3.9458673
26,404,3.9435565,3.9435565
27,9,3.8969069,3.8969069
28,374,3.712157,3.712157
29,28,3.7012408,3.7012408
30,59,3.6160822,3.6160822
31,102,3.5677788,3.5677788
32,400,3.4608955,3.4608955
33,897,3.4575322,3.4575322
34,81,3.399905,3.399905
35,214,3.3508558,3.3508558
36,407,3.2657979,3.2657979
37,108,3.174244,3.174244
38,16,3.1073182,3.1073182
39,1,3.0877056,3.0877056
40,1874,3.0754282,3.0754282
41,204,2.9456673,2.9456673
42,220,2.8976195,2.8976195
43,89,2.8345678,2.8345678
44,471,2.7838356,2.7838356
45,1314,2.76839,2.76839
46,321,2.7604778,2.7604778
47,105,2.7356558,2.7356558
48,358,2.7195446,2.7195446
49,83,2.6942244,2.6942244
50,77,2.6321871,2.6321871
51,455,2.5892413,2.5892413
52,24,2.5818481,2.5818481
53,48,2.5799334,2.5799334
54,125,2.567961,2.567961
55,1739,2.5594516,2.5594516
56,491,2.553645,2.553645
57,58,2.456551,2.456551
58,410,2.4251726,2.4251726
59,803,2.3700411,2.3700411
60,94,2.3588564,2.3588564
61,810,2.2679605,2.2679605
62,22,2.2620099,2.2620099
63,27,2.254454,2.254454
64,256,2.2458086,2.2458086
65,21,2.209104,2.209104
66,138,2.2079728,2.2079728
67,258,2.1876643,2.1876643
68,1795,2.184891,2.184891
69,495,2.1821232,2.1821232
70,18,2.168153,2.168153
71,57,2.145404,2.145404
72,4,2.1346514,2.1346514
73,68,2.1246123,2.1246123
74,331,2.1016104,2.1016104
75,50,2.087467,2.087467
76,148,2.0858676,2.0858676
77,44,2.0683239,2.0683239
78,412,2.0681756,2.0681756
79,86,2.0638497,2.0638497
80,203,2.0359135,2.0359135
81,115,2.0310166,2.0310166
82,87,2.0063446,2.0063446
83,0,2.0020754,2.0020754
84,137,1.9936118,1.9936118
85,451,1.9727634,1.9727634
86,78,1.9408445,1.9408445
87,497,1.920836,1.920836
88,180,1.9204947,1.9204947
89,393,1.9198166,1.9198166
90,656,1.8915681,1.8915681
91,8,1.852498,1.852498
92,225,1.8501378,1.8501378
93,380,1.8481026,1.8481026
94,49,1.8409418,1.8409418
95,318,1.8370036,1.8370036
96,282,1.8351701,1.8351701
97,481,1.8281218,1.8281218
98,311,1.8280492,1.8280492
99,300,1.8220295,1.8220295
100,1723,1.8094183,1.8094183
