rank,feature_idx,coefficient,abs_coefficient
1,9,13.28115,13.28115
2,2,10.890733,10.890733
3,12,8.981929,8.981929
4,122,7.670591,7.670591
5,15,7.4787965,7.4787965
6,3,7.2032514,7.2032514
7,8,6.803385,6.803385
8,170,6.1795216,6.1795216
9,59,6.0014367,6.0014367
10,315,5.531305,5.531305
11,50,5.4843063,5.4843063
12,32,4.559389,4.559389
13,4,4.2934585,4.2934585
14,7,4.1064053,4.1064053
15,62,4.1011734,4.1011734
16,58,3.9501045,3.9501045
17,1949,3.7849724,3.7849724
18,87,3.687711,3.687711
19,491,3.3294594,3.3294594
20,24,3.2911708,3.2911708
21,29,3.2506497,3.2506497
22,102,2.965623,2.965623
23,105,2.9413288,2.9413288
24,220,2.9394963,2.9394963
25,72,2.922345,2.922345
26,301,2.9150493,2.9150493
27,411,2.881997,2.881997
28,94,2.843856,2.843856
29,462,2.768428,2.768428
30,258,2.7683861,2.7683861
31,1962,2.7588568,2.7588568
32,91,2.6792142,2.6792142
33,49,2.6363728,2.6363728
34,1,2.612176,2.612176
35,472,2.588274,2.588274
36,86,2.5446408,2.5446408
37,195,2.502921,2.502921
38,1795,2.4292982,2.4292982
39,125,2.38048,2.38048
40,75,2.2086287,2.2086287
41,16,2.129631,2.129631
42,17,2.0579605,2.0579605
43,28,2.055561,2.055561
44,19,2.052803,2.052803
45,98,2.050766,2.050766
46,1970,2.0441906,2.0441906
47,81,2.0316923,2.0316923
48,358,2.0240977,2.0240977
49,318,2.0117743,2.0117743
50,93,2.0014765,2.0014765
51,120,1.979057,1.979057
52,44,1.9444412,1.9444412
53,10,1.9361326,1.9361326
54,22,1.8745173,1.8745173
55,18,1.8423924,1.8423924
56,245,1.8077949,1.8077949
57,123,1.7974806,1.7974806
58,88,1.7878166,1.7878166
59,244,1.7522658,1.7522658
60,131,1.7435268,1.7435268
61,100,1.7283587,1.7283587
62,204,1.6773329,1.6773329
63,46,1.6733366,1.6733366
64,311,1.62782,1.62782
65,467,1.620164,1.620164
66,0,1.6173822,1.6173822
67,656,1.5642258,1.5642258
68,25,1.5509888,1.5509888
69,705,1.5439405,1.5439405
70,108,1.5151992,1.5151992
71,300,1.5044063,1.5044063
72,303,1.5043888,1.5043888
73,356,1.4847488,1.4847488
74,498,1.4778754,1.4778754
75,56,1.4731903,1.4731903
76,27,1.4419022,1.4419022
77,293,1.4143354,1.4143354
78,113,1.4037914,1.4037914
79,228,1.4036541,1.4036541
80,13,1.3997124,1.3997124
81,42,1.3845183,1.3845183
82,83,1.3830843,1.3830843
83,332,1.3554769,1.3554769
84,77,1.3502966,1.3502966
85,30,1.3447939,1.3447939
86,68,1.3384238,1.3384238
87,191,1.3280197,1.3280197
88,26,1.3209149,1.3209149
89,256,1.3085499,1.3085499
90,493,1.306045,1.306045
91,39,1.2833381,1.2833381
92,335,1.2520956,1.2520956
93,376,1.24506,1.24506
94,225,1.2300142,1.2300142
95,446,1.221859,1.221859
96,495,1.2080361,1.2080361
97,331,1.2052832,1.2052832
98,175,1.2031136,1.2031136
99,124,1.1999731,1.1999731
100,66,1.1949737,1.1949737
