rank,feature_idx,coefficient,abs_coefficient
1,14,6.8870573,6.8870573
2,11,6.004921,6.004921
3,15,5.424713,5.424713
4,1,4.7264237,4.7264237
5,10,4.6687865,4.6687865
6,19,4.400392,4.400392
7,29,4.2562866,4.2562866
8,44,4.2162237,4.2162237
9,22,3.9061158,3.9061158
10,257,3.7738292,3.7738292
11,45,3.721026,3.721026
12,3,3.5962086,3.5962086
13,0,3.413527,3.413527
14,354,3.4101887,3.4101887
15,16,3.3792415,3.3792415
16,12,3.369121,3.369121
17,6,3.2115552,3.2115552
18,5,3.1832542,3.1832542
19,1202,3.1826508,3.1826508
20,31,3.1232584,3.1232584
21,34,3.1041818,3.1041818
22,114,2.9805129,2.9805129
23,394,2.9547067,2.9547067
24,459,2.9226718,2.9226718
25,42,2.800837,2.800837
26,389,2.7701814,2.7701814
27,121,2.750508,2.750508
28,66,2.7308707,2.7308707
29,366,2.7272217,2.7272217
30,921,2.700248,2.700248
31,30,2.6376212,2.6376212
32,79,2.6258094,2.6258094
33,476,2.607436,2.607436
34,65,2.5891078,2.5891078
35,499,2.571095,2.571095
36,1720,2.542732,2.542732
37,172,2.538063,2.538063
38,13,2.5149293,2.5149293
39,4,2.505505,2.505505
40,94,2.4878693,2.4878693
41,204,2.443293,2.443293
42,212,2.4074101,2.4074101
43,63,2.3940635,2.3940635
44,262,2.3433444,2.3433444
45,141,2.2978475,2.2978475
46,81,2.2823296,2.2823296
47,406,2.2694664,2.2694664
48,100,2.2687542,2.2687542
49,91,2.2500632,2.2500632
50,26,2.2367852,2.2367852
51,278,2.2346578,2.2346578
52,214,2.2324731,2.2324731
53,133,2.22653,2.22653
54,401,2.2227778,2.2227778
55,21,2.221597,2.221597
56,129,2.1952157,2.1952157
57,36,2.1897836,2.1897836
58,334,2.160383,2.160383
59,379,2.145908,2.145908
60,177,2.1358845,2.1358845
61,72,2.115165,2.115165
62,59,2.1114619,2.1114619
63,338,2.1032357,2.1032357
64,1361,2.0997336,2.0997336
65,9,2.0950427,2.0950427
66,322,2.0714505,2.0714505
67,122,2.0706131,2.0706131
68,360,2.0560682,2.0560682
69,77,2.0422425,2.0422425
70,285,2.0407472,2.0407472
71,57,2.0297337,2.0297337
72,49,2.0294,2.0294
73,92,2.017304,2.017304
74,203,2.01324,2.01324
75,1318,2.0057003,2.0057003
76,402,2.0043573,2.0043573
77,104,2.002982,2.002982
78,76,1.9965153,1.9965153
79,1419,1.9672724,1.9672724
80,55,1.9509398,1.9509398
81,424,1.9477211,1.9477211
82,56,1.9349512,1.9349512
83,245,1.9192152,1.9192152
84,361,1.9183543,1.9183543
85,78,1.9178485,1.9178485
86,80,1.9047005,1.9047005
87,435,1.9028925,1.9028925
88,470,1.8965796,1.8965796
89,20,1.8796289,1.8796289
90,103,1.8787489,1.8787489
91,343,1.8775356,1.8775356
92,504,1.8764225,1.8764225
93,17,1.8728256,1.8728256
94,246,1.8591679,1.8591679
95,413,1.8463097,1.8463097
96,167,1.8430461,1.8430461
97,1500,1.8391972,1.8391972
98,532,1.8322262,1.8322262
99,194,1.8238233,1.8238233
100,274,1.8091372,1.8091372
