rank,feature_idx,coefficient,abs_coefficient
1,136,7.375435,7.375435
2,2010,5.4657397,5.4657397
3,126,4.802987,4.802987
4,87,4.7382693,4.7382693
5,19,4.5009336,4.5009336
6,41,4.2705126,4.2705126
7,244,3.8693442,3.8693442
8,380,3.6747859,3.6747859
9,221,3.3599212,3.3599212
10,980,3.1863306,3.1863306
11,73,3.0492873,3.0492873
12,252,3.024752,3.024752
13,408,3.014404,3.014404
14,404,2.8921344,2.8921344
15,1772,2.837853,2.837853
16,46,2.8313546,2.8313546
17,18,2.7826934,2.7826934
18,10,2.6829784,2.6829784
19,21,2.530698,2.530698
20,57,2.4390662,2.4390662
21,2040,2.4130685,2.4130685
22,1351,2.4121938,2.4121938
23,96,2.4121153,2.4121153
24,78,2.3886235,2.3886235
25,426,2.3266869,2.3266869
26,193,2.3236184,2.3236184
27,146,2.2495716,2.2495716
28,306,2.2221029,2.2221029
29,724,2.2097695,2.2097695
30,917,2.2059639,2.2059639
31,26,2.1064117,2.1064117
32,112,2.102203,2.102203
33,294,2.0506704,2.0506704
34,322,2.0470843,2.0470843
35,766,2.018078,2.018078
36,133,2.014847,2.014847
37,215,2.0101178,2.0101178
38,2,1.9980061,1.9980061
39,1793,1.967942,1.967942
40,324,1.9337281,1.9337281
41,6,1.9220068,1.9220068
42,79,1.9138813,1.9138813
43,375,1.9057773,1.9057773
44,445,1.8191595,1.8191595
45,69,1.8181555,1.8181555
46,1352,1.7995882,1.7995882
47,152,1.7747377,1.7747377
48,151,1.7596232,1.7596232
49,83,1.7500364,1.7500364
50,117,1.7224873,1.7224873
51,254,1.7026265,1.7026265
52,1373,1.6969517,1.6969517
53,242,1.6874398,1.6874398
54,101,1.6635424,1.6635424
55,77,1.6621152,1.6621152
56,1629,1.6485481,1.6485481
57,206,1.6434498,1.6434498
58,465,1.6185328,1.6185328
59,475,1.6138934,1.6138934
60,1276,1.5805691,1.5805691
61,20,1.5689809,1.5689809
62,283,1.5642391,1.5642391
63,36,1.5506178,1.5506178
64,834,1.5366939,1.5366939
65,1314,1.5344486,1.5344486
66,81,1.5197804,1.5197804
67,715,1.5190029,1.5190029
68,463,1.514559,1.514559
69,366,1.5096264,1.5096264
70,668,1.5045738,1.5045738
71,1549,1.4989997,1.4989997
72,48,1.4931074,1.4931074
73,15,1.4886299,1.4886299
74,1965,1.473952,1.473952
75,67,1.4616919,1.4616919
76,321,1.4607488,1.4607488
77,241,1.4366064,1.4366064
78,1741,1.4331338,1.4331338
79,75,1.4105775,1.4105775
80,220,1.4067506,1.4067506
81,229,1.3963146,1.3963146
82,314,1.381328,1.381328
83,27,1.378731,1.378731
84,144,1.3589238,1.3589238
85,1640,1.3554317,1.3554317
86,331,1.3551935,1.3551935
87,278,1.3486089,1.3486089
88,240,1.3476096,1.3476096
89,137,1.3449792,1.3449792
90,35,1.3389915,1.3389915
91,65,1.3119694,1.3119694
92,255,1.29149,1.29149
93,397,1.2883799,1.2883799
94,1919,1.255514,1.255514
95,413,1.24535,1.24535
96,363,1.2315643,1.2315643
97,495,1.231514,1.231514
98,1814,1.2261349,1.2261349
99,93,1.2193182,1.2193182
100,296,1.2030932,1.2030932
