rank,feature_idx,coefficient,abs_coefficient
1,31,-10.672908,10.672908
2,11,-7.02301,7.02301
3,29,5.885946,5.885946
4,426,5.034989,5.034989
5,370,-4.8029256,4.8029256
6,48,-4.767869,4.767869
7,96,4.3520455,4.3520455
8,57,4.058381,4.058381
9,36,-4.0360312,4.0360312
10,404,3.8633976,3.8633976
11,9,-3.7776878,3.7776878
12,41,-3.7218554,3.7218554
13,230,-3.4264362,3.4264362
14,1545,-3.3978465,3.3978465
15,699,3.2370687,3.2370687
16,288,-3.0237858,3.0237858
17,275,-3.0083404,3.0083404
18,200,-2.999724,2.999724
19,283,-2.986009,2.986009
20,589,2.7294965,2.7294965
21,21,2.7108116,2.7108116
22,1889,-2.703773,2.703773
23,173,-2.6207585,2.6207585
24,245,-2.52391,2.52391
25,268,-2.4953806,2.4953806
26,1014,-2.437171,2.437171
27,1884,2.4360383,2.4360383
28,84,-2.3081157,2.3081157
29,244,2.2042363,2.2042363
30,463,2.1512864,2.1512864
31,465,-2.1252823,2.1252823
32,499,-2.0916514,2.0916514
33,145,2.0913239,2.0913239
34,1774,-2.070547,2.070547
35,184,2.0681336,2.0681336
36,44,1.9945589,1.9945589
37,724,1.9782917,1.9782917
38,77,1.9766439,1.9766439
39,1296,1.9534686,1.9534686
40,240,-1.9165424,1.9165424
41,1629,1.9105592,1.9105592
42,374,-1.8892671,1.8892671
43,37,-1.8777523,1.8777523
44,710,1.8685795,1.8685795
45,1816,-1.8596549,1.8596549
46,32,-1.8573265,1.8573265
47,417,-1.8566993,1.8566993
48,363,-1.8539153,1.8539153
49,269,1.8267748,1.8267748
50,242,-1.8238373,1.8238373
51,51,-1.8135303,1.8135303
52,324,1.7802969,1.7802969
53,1120,-1.77639,1.77639
54,186,-1.7718457,1.7718457
55,4,1.7195421,1.7195421
56,951,-1.7086723,1.7086723
57,507,-1.6826181,1.6826181
58,136,1.6789268,1.6789268
59,2,1.6654946,1.6654946
60,1504,1.6617848,1.6617848
61,73,1.6287912,1.6287912
62,766,1.6021999,1.6021999
63,82,-1.6006515,1.6006515
64,226,1.5958651,1.5958651
65,169,1.5825874,1.5825874
66,543,1.5530268,1.5530268
67,1568,1.5217063,1.5217063
68,998,-1.5070648,1.5070648
69,497,-1.504045,1.504045
70,52,-1.4889724,1.4889724
71,248,-1.4880799,1.4880799
72,446,-1.480914,1.480914
73,151,1.4760534,1.4760534
74,189,-1.4303938,1.4303938
75,306,1.4284801,1.4284801
76,63,1.4272969,1.4272969
77,317,-1.4238725,1.4238725
78,1148,1.418822,1.418822
79,20,1.4137181,1.4137181
80,1961,1.3986021,1.3986021
81,298,-1.3824409,1.3824409
82,2023,-1.3785279,1.3785279
83,18,1.3739808,1.3739808
84,421,-1.372107,1.372107
85,214,-1.3487356,1.3487356
86,668,1.3172138,1.3172138
87,1994,-1.2996851,1.2996851
88,1047,-1.2888939,1.2888939
89,541,-1.2806329,1.2806329
90,502,-1.269053,1.269053
91,495,1.2647487,1.2647487
92,313,-1.2384497,1.2384497
93,152,-1.2280595,1.2280595
94,1540,-1.2138824,1.2138824
95,445,1.1963809,1.1963809
96,1831,1.19274,1.19274
97,960,-1.1840845,1.1840845
98,413,1.1680317,1.1680317
99,408,1.165178,1.165178
100,1158,1.1634058,1.1634058
