rank,feature_idx,coefficient,abs_coefficient
1,436,2.3752391,2.3752391
2,654,2.3630662,2.3630662
3,897,2.3553126,2.3553126
4,412,1.7940036,1.7940036
5,773,1.7566441,1.7566441
6,138,1.7105108,1.7105108
7,756,1.6398704,1.6398704
8,1022,1.6179708,1.6179708
9,1014,1.594373,1.594373
10,739,1.5852102,1.5852102
11,411,1.57769,1.57769
12,76,1.5763041,1.5763041
13,619,1.5748849,1.5748849
14,604,1.57353,1.57353
15,733,1.5728109,1.5728109
16,860,1.5707858,1.5707858
17,995,1.5691117,1.5691117
18,396,1.5221179,1.5221179
19,635,1.4958402,1.4958402
20,68,1.4906636,1.4906636
21,223,1.4830157,1.4830157
22,581,1.4809052,1.4809052
23,644,1.478066,1.478066
24,962,1.4562773,1.4562773
25,992,1.449352,1.449352
26,593,1.4113274,1.4113274
27,762,1.3763818,1.3763818
28,719,1.3592743,1.3592743
29,373,1.3423281,1.3423281
30,647,1.3404075,1.3404075
31,999,1.2837366,1.2837366
32,78,1.2806907,1.2806907
33,190,1.2633414,1.2633414
34,441,1.2557569,1.2557569
35,431,1.2200402,1.2200402
36,122,1.1997263,1.1997263
37,3,1.1983646,1.1983646
38,855,1.1962457,1.1962457
39,114,1.1958505,1.1958505
40,216,1.1914526,1.1914526
41,89,1.1893506,1.1893506
42,372,1.1870722,1.1870722
43,464,1.1870482,1.1870482
44,413,1.1843699,1.1843699
45,500,1.1825651,1.1825651
46,878,1.182345,1.182345
47,91,1.1814849,1.1814849
48,473,1.1811856,1.1811856
49,579,1.1740774,1.1740774
50,659,1.1633241,1.1633241
51,949,1.1606253,1.1606253
52,42,1.1597571,1.1597571
53,51,1.1523852,1.1523852
54,908,1.1507323,1.1507323
55,664,1.1352382,1.1352382
56,926,1.1295751,1.1295751
57,778,1.1208239,1.1208239
58,1006,1.1181517,1.1181517
59,688,1.1180212,1.1180212
60,903,1.1092908,1.1092908
61,1011,1.1007683,1.1007683
62,891,1.0989633,1.0989633
63,708,1.0979831,1.0979831
64,919,1.0941446,1.0941446
65,563,1.0883424,1.0883424
66,821,1.0823518,1.0823518
67,163,1.067283,1.067283
68,314,1.0634663,1.0634663
69,109,1.0562145,1.0562145
70,453,1.0539061,1.0539061
71,34,1.0538685,1.0538685
72,457,1.0450511,1.0450511
73,985,1.0393828,1.0393828
74,859,1.0341922,1.0341922
75,1003,1.0314616,1.0314616
76,735,1.0231293,1.0231293
77,157,1.0219489,1.0219489
78,439,1.0144821,1.0144821
79,805,1.013283,1.013283
80,362,1.0116827,1.0116827
81,729,1.010957,1.010957
82,66,1.0097632,1.0097632
83,623,0.9996225,0.9996225
84,698,0.9987517,0.9987517
85,80,0.99871963,0.99871963
86,351,0.9982604,0.9982604
87,648,0.9982287,0.9982287
88,410,0.9982077,0.9982077
89,547,0.99816823,0.99816823
90,348,0.9973701,0.9973701
91,154,0.9970256,0.9970256
92,558,0.9969968,0.9969968
93,963,0.9969741,0.9969741
94,541,0.99695796,0.99695796
95,525,0.99689394,0.99689394
96,761,0.9948269,0.9948269
97,987,0.9946532,0.9946532
98,546,0.9940948,0.9940948
99,691,0.99233866,0.99233866
100,502,0.9921909,0.9921909
