rank,feature_idx,coefficient,abs_coefficient
1,712,2.1198928,2.1198928
2,1013,1.7755802,1.7755802
3,487,1.6427732,1.6427732
4,838,1.6278048,1.6278048
5,625,1.6028187,1.6028187
6,42,1.5932692,1.5932692
7,781,1.5679636,1.5679636
8,865,1.5669404,1.5669404
9,136,-1.5420111,1.5420111
10,286,1.5261221,1.5261221
11,1021,1.5230942,1.5230942
12,785,1.5227664,1.5227664
13,693,-1.4708191,1.4708191
14,497,1.4634511,1.4634511
15,454,-1.4165602,1.4165602
16,264,1.4054612,1.4054612
17,597,1.3879365,1.3879365
18,545,1.3807203,1.3807203
19,965,1.3668265,1.3668265
20,298,1.3610585,1.3610585
21,836,1.359021,1.359021
22,719,1.3167136,1.3167136
23,178,-1.3033985,1.3033985
24,660,-1.2938412,1.2938412
25,679,-1.2484231,1.2484231
26,602,1.2228345,1.2228345
27,483,1.2054921,1.2054921
28,40,-1.1945041,1.1945041
29,51,-1.191906,1.191906
30,798,1.1889497,1.1889497
31,260,-1.1863285,1.1863285
32,249,-1.1804616,1.1804616
33,590,-1.1670401,1.1670401
34,256,-1.1632533,1.1632533
35,267,-1.1600971,1.1600971
36,932,-1.155709,1.155709
37,404,1.144074,1.144074
38,479,1.1307423,1.1307423
39,50,-1.114685,1.114685
40,431,-1.1001302,1.1001302
41,112,-1.0951915,1.0951915
42,413,-1.0926725,1.0926725
43,897,1.0799787,1.0799787
44,190,-1.0798773,1.0798773
45,138,1.0755895,1.0755895
46,494,1.0730581,1.0730581
47,221,1.0713984,1.0713984
48,56,1.0696133,1.0696133
49,191,-1.0622292,1.0622292
50,607,-1.059595,1.059595
51,963,-1.0577736,1.0577736
52,486,1.0497389,1.0497389
53,197,-1.0447592,1.0447592
54,643,-1.0417948,1.0417948
55,134,1.0303414,1.0303414
56,311,-1.0247011,1.0247011
57,1017,1.0203458,1.0203458
58,127,-1.015979,1.015979
59,123,-1.0076486,1.0076486
60,936,-1.0075989,1.0075989
61,490,0.9982116,0.9982116
62,564,-0.99821067,0.99821067
63,828,-0.9978231,0.9978231
64,547,0.9948584,0.9948584
65,696,-0.9911538,0.9911538
66,699,-0.98910415,0.98910415
67,953,-0.9867309,0.9867309
68,867,-0.98415864,0.98415864
69,301,0.9818357,0.9818357
70,371,0.98045665,0.98045665
71,543,-0.9799937,0.9799937
72,851,-0.97845006,0.97845006
73,603,0.9760057,0.9760057
74,131,-0.96832067,0.96832067
75,306,0.9647764,0.9647764
76,584,-0.9563091,0.9563091
77,930,0.95467967,0.95467967
78,513,-0.9527022,0.9527022
79,155,-0.9463684,0.9463684
80,706,-0.94308805,0.94308805
81,443,0.9392989,0.9392989
82,381,0.9368092,0.9368092
83,783,-0.9352996,0.9352996
84,664,-0.9340272,0.9340272
85,80,0.9293,0.9293
86,741,-0.9215335,0.9215335
87,811,0.9178354,0.9178354
88,638,-0.9064391,0.9064391
89,682,-0.9051266,0.9051266
90,887,0.9017535,0.9017535
91,778,-0.8934901,0.8934901
92,55,-0.8892105,0.8892105
93,904,0.88892376,0.88892376
94,990,0.8862866,0.8862866
95,914,0.8833689,0.8833689
96,767,-0.87699586,0.87699586
97,908,0.87654793,0.87654793
98,438,-0.8750481,0.8750481
99,227,0.8699377,0.8699377
100,892,0.8694017,0.8694017
