rank,feature_idx,coefficient,abs_coefficient
1,17,10.960787,10.960787
2,107,10.145861,10.145861
3,1,9.166278,9.166278
4,21,7.576135,7.576135
5,11,6.6064696,6.6064696
6,16,5.924012,5.924012
7,744,5.653862,5.653862
8,7,4.015149,4.015149
9,6,3.9946346,3.9946346
10,5,3.8983338,3.8983338
11,275,3.5062644,3.5062644
12,214,3.4035866,3.4035866
13,29,2.7375448,2.7375448
14,134,2.7330875,2.7330875
15,2,2.6570964,2.6570964
16,164,2.1014802,2.1014802
17,8,1.9797024,1.9797024
18,69,1.9439951,1.9439951
19,316,1.393262,1.393262
20,1774,1.327118,1.327118
21,129,1.2406337,1.2406337
22,95,1.1784694,1.1784694
23,438,1.1511822,1.1511822
24,256,1.1422117,1.1422117
25,115,1.0718963,1.0718963
26,1878,1.0428615,1.0428615
27,375,0.9785302,0.9785302
28,1069,0.8967334,0.8967334
29,1439,0.8520702,0.8520702
30,312,0.7557804,0.7557804
31,14,0.7495273,0.7495273
32,127,0.72593343,0.72593343
33,24,0.70573014,0.70573014
34,320,0.5435385,0.5435385
35,492,0.5153141,0.5153141
36,53,0.47365132,0.47365132
37,279,0.47168618,0.47168618
38,180,0.4342657,0.4342657
39,923,0.4328881,0.4328881
40,1495,0.3697196,0.3697196
41,295,0.36929545,0.36929545
42,411,0.29068965,0.29068965
43,431,0.29009706,0.29009706
44,1033,0.28148603,0.28148603
45,1633,0.27117354,0.27117354
46,196,0.2698738,0.2698738
47,142,0.2446615,0.2446615
48,1082,0.23406672,0.23406672
49,41,0.21707323,0.21707323
50,3,0.20787235,0.20787235
51,40,0.2013922,0.2013922
52,81,0.20078838,0.20078838
53,1961,0.1722054,0.1722054
54,306,0.16149548,0.16149548
55,378,0.13838537,0.13838537
56,213,0.13033828,0.13033828
57,366,0.12553528,0.12553528
58,36,0.10866292,0.10866292
59,205,0.10108459,0.10108459
60,377,0.0993662,0.0993662
61,20,0.09546718,0.09546718
62,963,0.08980317,0.08980317
63,90,0.073877975,0.073877975
64,854,0.06659616,0.06659616
65,1951,0.061057944,0.061057944
66,60,0.060401488,0.060401488
67,47,0.05766188,0.05766188
68,19,0.051059436,0.051059436
69,30,0.037932437,0.037932437
70,15,0.036257375,0.036257375
71,74,0.035271723,0.035271723
72,502,0.033988405,0.033988405
73,478,0.033214726,0.033214726
74,59,0.031134898,0.031134898
75,606,0.029758641,0.029758641
76,75,0.028135791,0.028135791
77,917,0.018061003,0.018061003
78,123,0.014617915,0.014617915
79,1383,0.014112197,0.014112197
80,246,0.012768613,0.012768613
81,883,0.009085716,0.009085716
82,1726,0.008691819,0.008691819
83,430,0.008487465,0.008487465
84,245,0.007908097,0.007908097
85,232,0.004650987,0.004650987
86,1304,0.004429889,0.004429889
87,688,0.0041760304,0.0041760304
88,869,0.003507303,0.003507303
89,233,0.0032855428,0.0032855428
90,73,0.002950899,0.002950899
91,493,0.0029116948,0.0029116948
92,887,0.0026153438,0.0026153438
93,2040,0.0020137117,0.0020137117
94,25,0.0019877993,0.0019877993
95,103,0.0019135497,0.0019135497
96,237,0.001786168,0.001786168
97,34,0.0017735495,0.0017735495
98,48,0.0017305125,0.0017305125
99,10,0.0016975468,0.0016975468
100,393,0.0016779583,0.0016779583
