rank,feature_idx,coefficient,abs_coefficient
1,24,6.096457,6.096457
2,1392,5.371875,5.371875
3,35,5.2819724,5.2819724
4,3,5.125014,5.125014
5,23,5.011106,5.011106
6,32,4.794881,4.794881
7,223,4.7626605,4.7626605
8,41,4.6745872,4.6745872
9,57,4.32412,4.32412
10,18,4.1537876,4.1537876
11,111,3.4576735,3.4576735
12,664,3.3660476,3.3660476
13,12,2.7684,2.7684
14,113,2.02498,2.02498
15,218,1.9335147,1.9335147
16,124,1.6060156,1.6060156
17,26,1.5671753,1.5671753
18,243,1.5026027,1.5026027
19,780,1.4154238,1.4154238
20,42,1.3331736,1.3331736
21,9,1.287803,1.287803
22,753,1.2655619,1.2655619
23,141,1.2528886,1.2528886
24,89,1.1871256,1.1871256
25,358,1.1533955,1.1533955
26,132,1.1495136,1.1495136
27,184,1.1444439,1.1444439
28,876,1.1228449,1.1228449
29,694,1.1131747,1.1131747
30,213,1.0837862,1.0837862
31,166,1.0802306,1.0802306
32,30,1.078995,1.078995
33,38,1.0164171,1.0164171
34,208,0.9736653,0.9736653
35,126,0.92005163,0.92005163
36,63,0.87693405,0.87693405
37,147,0.8601003,0.8601003
38,792,0.83304024,0.83304024
39,180,0.7907954,0.7907954
40,189,0.78947574,0.78947574
41,637,0.7892099,0.7892099
42,532,0.77776116,0.77776116
43,890,0.77500993,0.77500993
44,49,0.7097667,0.7097667
45,250,0.7075944,0.7075944
46,231,0.67517126,0.67517126
47,216,0.5986083,0.5986083
48,17,0.5358396,0.5358396
49,72,0.51689583,0.51689583
50,708,0.5139013,0.5139013
51,31,0.50847286,0.50847286
52,2506,0.48285538,0.48285538
53,52,0.48003212,0.48003212
54,1011,0.46375713,0.46375713
55,61,0.45608586,0.45608586
56,501,0.4133491,0.4133491
57,2148,0.41191387,0.41191387
58,45,0.40862432,0.40862432
59,50,0.40401378,0.40401378
60,7,0.38646913,0.38646913
61,139,0.374653,0.374653
62,237,0.3615212,0.3615212
63,11,0.35893324,0.35893324
64,929,0.3543915,0.3543915
65,611,0.35371038,0.35371038
66,368,0.34846833,0.34846833
67,608,0.34472856,0.34472856
68,1124,0.3262117,0.3262117
69,274,0.319154,0.319154
70,675,0.31721324,0.31721324
71,1638,0.3125512,0.3125512
72,278,0.30994648,0.30994648
73,449,0.29039973,0.29039973
74,2865,0.28213176,0.28213176
75,116,0.28050616,0.28050616
76,2970,0.27755633,0.27755633
77,244,0.26650482,0.26650482
78,54,0.26167393,0.26167393
79,60,0.26056165,0.26056165
80,420,0.2567431,0.2567431
81,1002,0.24156249,0.24156249
82,2650,0.2395531,0.2395531
83,541,0.23412977,0.23412977
84,55,0.23411813,0.23411813
85,33,0.2335613,0.2335613
86,2567,0.22685869,0.22685869
87,269,0.22289836,0.22289836
88,179,0.21908532,0.21908532
89,2266,0.21785627,0.21785627
90,131,0.21778277,0.21778277
91,590,0.20470624,0.20470624
92,3855,0.20233484,0.20233484
93,121,0.20092754,0.20092754
94,3642,0.19628848,0.19628848
95,1412,0.19221134,0.19221134
96,3349,0.18695037,0.18695037
97,13,0.18642457,0.18642457
98,2,0.17947957,0.17947957
99,2509,0.17536034,0.17536034
100,871,0.1734852,0.1734852
