rank,feature_idx,coefficient,abs_coefficient
1,16,17.715147,17.715147
2,79,12.047096,12.047096
3,4,9.174999,9.174999
4,173,8.794543,8.794543
5,198,7.526713,7.526713
6,44,7.026441,7.026441
7,949,7.0106025,7.0106025
8,735,6.9589543,6.9589543
9,656,6.3101373,6.3101373
10,743,6.2749333,6.2749333
11,695,6.1318297,6.1318297
12,87,6.12475,6.12475
13,47,5.5353703,5.5353703
14,98,5.0776534,5.0776534
15,313,4.9617867,4.9617867
16,162,4.8323507,4.8323507
17,45,4.734983,4.734983
18,35,4.711619,4.711619
19,127,4.6204667,4.6204667
20,238,4.5263286,4.5263286
21,751,4.480291,4.480291
22,513,4.2426987,4.2426987
23,15,4.1581225,4.1581225
24,244,4.1572876,4.1572876
25,276,3.9155977,3.9155977
26,697,3.8898535,3.8898535
27,1,3.8344955,3.8344955
28,676,3.8275783,3.8275783
29,867,3.8151639,3.8151639
30,380,3.8116512,3.8116512
31,343,3.7289495,3.7289495
32,273,3.6403522,3.6403522
33,797,3.6209013,3.6209013
34,156,3.5856068,3.5856068
35,5,3.4735153,3.4735153
36,215,3.4624045,3.4624045
37,527,3.382098,3.382098
38,48,3.3726223,3.3726223
39,210,3.3711958,3.3711958
40,212,3.3476746,3.3476746
41,100,3.344938,3.344938
42,221,3.2932425,3.2932425
43,78,3.2881877,3.2881877
44,120,3.2524817,3.2524817
45,253,3.1726532,3.1726532
46,126,3.1661053,3.1661053
47,54,3.110854,3.110854
48,457,3.0837555,3.0837555
49,119,3.0824845,3.0824845
50,137,3.0482807,3.0482807
51,61,3.0135925,3.0135925
52,401,3.0117385,3.0117385
53,471,2.972098,2.972098
54,41,2.971947,2.971947
55,846,2.963559,2.963559
56,952,2.9626677,2.9626677
57,216,2.952029,2.952029
58,77,2.8861434,2.8861434
59,30,2.835274,2.835274
60,692,2.8241653,2.8241653
61,27,2.777952,2.777952
62,841,2.6800296,2.6800296
63,480,2.621812,2.621812
64,931,2.5996516,2.5996516
65,436,2.5699136,2.5699136
66,984,2.5651872,2.5651872
67,193,2.5598047,2.5598047
68,504,2.5535252,2.5535252
69,3366,2.5460937,2.5460937
70,149,2.5287962,2.5287962
71,543,2.5279408,2.5279408
72,29,2.5230012,2.5230012
73,242,2.5203848,2.5203848
74,136,2.4987319,2.4987319
75,1347,2.468846,2.468846
76,124,2.4638746,2.4638746
77,38,2.4566858,2.4566858
78,2252,2.42436,2.42436
79,810,2.4185872,2.4185872
80,71,2.4170294,2.4170294
81,428,2.412017,2.412017
82,928,2.404284,2.404284
83,303,2.4042172,2.4042172
84,122,2.4040043,2.4040043
85,181,2.3945405,2.3945405
86,508,2.3839386,2.3839386
87,759,2.3820782,2.3820782
88,271,2.3794034,2.3794034
89,157,2.3564587,2.3564587
90,624,2.3285062,2.3285062
91,941,2.3126192,2.3126192
92,34,2.2796829,2.2796829
93,6,2.27703,2.27703
94,824,2.2750623,2.2750623
95,200,2.2651362,2.2651362
96,684,2.2360573,2.2360573
97,64,2.2006931,2.2006931
98,2520,2.1972969,2.1972969
99,685,2.1893578,2.1893578
100,546,2.1690152,2.1690152
