rank,feature_idx,coefficient,abs_coefficient
1,41,9.105773,9.105773
2,212,8.1614065,8.1614065
3,198,6.206598,6.206598
4,841,5.976006,5.976006
5,78,5.8771787,5.8771787
6,120,5.8486633,5.8486633
7,945,5.776884,5.776884
8,810,5.4936385,5.4936385
9,126,5.3432865,5.3432865
10,157,5.2484465,5.2484465
11,44,5.0969667,5.0969667
12,209,5.035023,5.035023
13,867,4.8962893,4.8962893
14,12,4.8650656,4.8650656
15,80,4.758668,4.758668
16,3366,4.7414103,4.7414103
17,797,4.677245,4.677245
18,173,4.5679336,4.5679336
19,25,4.4484053,4.4484053
20,4,4.2699924,4.2699924
21,226,4.236424,4.236424
22,714,4.2326365,4.2326365
23,201,4.1909695,4.1909695
24,181,4.1841383,4.1841383
25,122,4.103028,4.103028
26,229,4.025936,4.025936
27,119,3.9627662,3.9627662
28,60,3.8893952,3.8893952
29,249,3.806945,3.806945
30,505,3.5976825,3.5976825
31,579,3.5146928,3.5146928
32,506,3.4358604,3.4358604
33,33,3.3822656,3.3822656
34,1611,3.3265529,3.3265529
35,91,3.1840084,3.1840084
36,121,3.1831737,3.1831737
37,3746,3.1644878,3.1644878
38,412,3.0896907,3.0896907
39,48,3.0857885,3.0857885
40,271,2.9738355,2.9738355
41,931,2.9189353,2.9189353
42,729,2.9169064,2.9169064
43,276,2.9126282,2.9126282
44,585,2.830072,2.830072
45,95,2.821387,2.821387
46,555,2.7957509,2.7957509
47,162,2.7774184,2.7774184
48,149,2.6593394,2.6593394
49,3,2.649234,2.649234
50,52,2.637516,2.637516
51,656,2.6274428,2.6274428
52,491,2.6240091,2.6240091
53,313,2.6205328,2.6205328
54,89,2.5939493,2.5939493
55,35,2.5806441,2.5806441
56,242,2.5530808,2.5530808
57,3696,2.5090501,2.5090501
58,214,2.4990816,2.4990816
59,2382,2.4510236,2.4510236
60,3183,2.4134917,2.4134917
61,59,2.3899972,2.3899972
62,385,2.3812284,2.3812284
63,421,2.3663669,2.3663669
64,56,2.3569903,2.3569903
65,5,2.3334918,2.3334918
66,3358,2.3319347,2.3319347
67,245,2.325521,2.325521
68,547,2.312319,2.312319
69,998,2.2437375,2.2437375
70,315,2.2351737,2.2351737
71,1660,2.1969466,2.1969466
72,692,2.1942325,2.1942325
73,221,2.19156,2.19156
74,753,2.179216,2.179216
75,83,2.16902,2.16902
76,241,2.15723,2.15723
77,2241,2.1510043,2.1510043
78,985,2.1258183,2.1258183
79,204,2.1229377,2.1229377
80,180,2.1128879,2.1128879
81,343,2.1008174,2.1008174
82,255,2.0938504,2.0938504
83,949,2.0753293,2.0753293
84,17,2.0727112,2.0727112
85,216,2.0519156,2.0519156
86,905,2.0205874,2.0205874
87,47,2.0188673,2.0188673
88,982,1.9981104,1.9981104
89,254,1.9910101,1.9910101
90,156,1.9734023,1.9734023
91,1,1.9278269,1.9278269
92,743,1.913112,1.913112
93,142,1.9034069,1.9034069
94,176,1.8956792,1.8956792
95,901,1.8876604,1.8876604
96,718,1.8868183,1.8868183
97,108,1.8831238,1.8831238
98,333,1.8623145,1.8623145
99,197,1.8414255,1.8414255
100,148,1.8060576,1.8060576
