rank,feature_idx,coefficient,abs_coefficient
1,679,1.5372794,1.5372794
2,245,1.3218486,1.3218486
3,433,1.3054667,1.3054667
4,374,1.2985375,1.2985375
5,40,1.278059,1.278059
6,768,1.2057184,1.2057184
7,905,1.1613663,1.1613663
8,0,1.1596423,1.1596423
9,924,1.15393,1.15393
10,953,1.1047355,1.1047355
11,444,1.1042874,1.1042874
12,659,1.0895557,1.0895557
13,224,1.0684814,1.0684814
14,207,1.0543814,1.0543814
15,297,1.0301194,1.0301194
16,304,1.0205008,1.0205008
17,839,1.0160275,1.0160275
18,893,1.0113437,1.0113437
19,758,1.010212,1.010212
20,203,0.9953591,0.9953591
21,107,0.99480635,0.99480635
22,475,0.99360776,0.99360776
23,119,0.9919296,0.9919296
24,852,0.9868244,0.9868244
25,157,0.9794896,0.9794896
26,272,0.9769781,0.9769781
27,195,0.9661821,0.9661821
28,412,0.9653282,0.9653282
29,840,0.9610962,0.9610962
30,287,0.9492268,0.9492268
31,625,0.9452568,0.9452568
32,979,0.9398353,0.9398353
33,695,0.93710935,0.93710935
34,775,0.93374956,0.93374956
35,456,0.92147535,0.92147535
36,678,0.91740674,0.91740674
37,786,0.9099082,0.9099082
38,498,0.90854186,0.90854186
39,140,0.90418124,0.90418124
40,633,0.90417016,0.90417016
41,605,0.90281165,0.90281165
42,848,0.89875066,0.89875066
43,331,0.897244,0.897244
44,847,0.89444727,0.89444727
45,657,0.8913411,0.8913411
46,753,0.89027715,0.89027715
47,143,0.8882215,0.8882215
48,89,0.88463974,0.88463974
49,814,0.882838,0.882838
50,120,0.87741816,0.87741816
51,463,0.87470394,0.87470394
52,722,0.86644477,0.86644477
53,462,0.85942364,0.85942364
54,917,0.8591318,0.8591318
55,403,0.85810864,0.85810864
56,694,0.85674703,0.85674703
57,275,0.85382706,0.85382706
58,233,0.8529752,0.8529752
59,299,0.849886,0.849886
60,746,0.8497974,0.8497974
61,442,0.84797436,0.84797436
62,980,0.8460251,0.8460251
63,686,0.84463745,0.84463745
64,957,0.84447825,0.84447825
65,201,0.843207,0.843207
66,309,0.8428204,0.8428204
67,306,0.84273976,0.84273976
68,136,0.8424518,0.8424518
69,869,0.84168243,0.84168243
70,552,0.8318368,0.8318368
71,972,0.8184157,0.8184157
72,75,0.8157973,0.8157973
73,849,0.81568545,0.81568545
74,667,0.81299686,0.81299686
75,270,0.810613,0.810613
76,992,0.8096875,0.8096875
77,824,0.8093106,0.8093106
78,55,0.80892843,0.80892843
79,90,0.8079586,0.8079586
80,806,0.8072735,0.8072735
81,598,0.8050885,0.8050885
82,264,0.803409,0.803409
83,49,0.8007735,0.8007735
84,981,0.79873866,0.79873866
85,324,0.7951867,0.7951867
86,290,0.7931391,0.7931391
87,862,0.7931382,0.7931382
88,446,0.7866421,0.7866421
89,371,0.78612244,0.78612244
90,393,0.7850913,0.7850913
91,1001,0.7833001,0.7833001
92,860,0.78162444,0.78162444
93,357,0.78028953,0.78028953
94,941,0.7802126,0.7802126
95,443,0.7786269,0.7786269
96,821,0.77822196,0.77822196
97,790,0.7780334,0.7780334
98,538,0.7752882,0.7752882
99,349,0.77510256,0.77510256
100,624,0.76889867,0.76889867
