rank,feature_idx,coefficient,abs_coefficient
1,16,72.44074,72.44074
2,679,49.576687,49.576687
3,7,38.768475,38.768475
4,89,38.343227,38.343227
5,757,38.16538,38.16538
6,380,37.819916,37.819916
7,846,32.97801,32.97801
8,180,29.515856,29.515856
9,81,28.21311,28.21311
10,3774,27.76795,27.76795
11,188,27.687437,27.687437
12,1548,25.911272,25.911272
13,44,25.619614,25.619614
14,79,24.823503,24.823503
15,735,24.323725,24.323725
16,21,22.855986,22.855986
17,624,22.717913,22.717913
18,178,22.570166,22.570166
19,527,22.25955,22.25955
20,436,22.181068,22.181068
21,108,21.796907,21.796907
22,145,21.607546,21.607546
23,652,21.464241,21.464241
24,893,21.070253,21.070253
25,238,20.50582,20.50582
26,2252,20.426434,20.426434
27,129,19.995071,19.995071
28,36,19.797186,19.797186
29,45,19.595257,19.595257
30,226,19.583675,19.583675
31,216,19.563082,19.563082
32,31,18.371866,18.371866
33,751,18.283903,18.283903
34,407,17.910662,17.910662
35,684,17.799906,17.799906
36,210,17.177841,17.177841
37,547,17.08657,17.08657
38,685,17.052856,17.052856
39,98,16.935732,16.935732
40,373,16.92022,16.92022
41,874,16.231693,16.231693
42,585,16.082165,16.082165
43,745,15.805038,15.805038
44,949,15.710795,15.710795
45,48,15.670636,15.670636
46,544,15.667514,15.667514
47,759,15.482566,15.482566
48,797,15.004292,15.004292
49,51,14.987048,14.987048
50,139,14.866101,14.866101
51,649,14.454679,14.454679
52,451,14.1746,14.1746
53,695,14.0380125,14.0380125
54,220,13.938912,13.938912
55,167,13.680924,13.680924
56,775,13.361743,13.361743
57,41,13.285056,13.285056
58,3009,12.91272,12.91272
59,814,12.625396,12.625396
60,3748,12.619468,12.619468
61,127,12.528969,12.528969
62,676,12.449285,12.449285
63,333,12.180013,12.180013
64,504,12.097245,12.097245
65,219,12.059364,12.059364
66,289,11.931873,11.931873
67,978,11.92673,11.92673
68,198,11.843938,11.843938
69,187,11.773838,11.773838
70,711,11.751607,11.751607
71,423,11.670108,11.670108
72,244,11.666322,11.666322
73,611,11.506022,11.506022
74,149,11.495791,11.495791
75,471,11.436523,11.436523
76,294,11.297203,11.297203
77,313,11.157208,11.157208
78,86,11.076176,11.076176
79,697,11.014573,11.014573
80,4,10.998192,10.998192
81,437,10.932685,10.932685
82,24,10.866876,10.866876
83,453,10.852886,10.852886
84,1817,10.533477,10.533477
85,805,10.17106,10.17106
86,207,10.048051,10.048051
87,1,10.009978,10.009978
88,134,9.894814,9.894814
89,1903,9.781213,9.781213
90,2343,9.7560625,9.7560625
91,63,9.722192,9.722192
92,651,9.688876,9.688876
93,13,9.671166,9.671166
94,156,9.641606,9.641606
95,4071,9.638691,9.638691
96,49,9.63757,9.63757
97,221,9.448025,9.448025
98,907,9.427926,9.427926
99,987,9.360587,9.360587
100,3065,9.129151,9.129151
