rank,feature_idx,coefficient,abs_coefficient
1,9,20.039707,20.039707
2,29,-19.508057,19.508057
3,33,-16.492247,16.492247
4,181,15.576962,15.576962
5,34,-15.231719,15.231719
6,56,13.379381,13.379381
7,129,-13.232602,13.232602
8,173,-12.378623,12.378623
9,36,12.055288,12.055288
10,469,-11.548509,11.548509
11,69,-11.082773,11.082773
12,975,-10.784897,10.784897
13,139,-10.772069,10.772069
14,38,7.706885,7.706885
15,217,-7.457521,7.457521
16,28,7.2787695,7.2787695
17,0,7.0751686,7.0751686
18,20,6.8453093,6.8453093
19,243,-6.8336415,6.8336415
20,159,6.4865375,6.4865375
21,120,6.382571,6.382571
22,182,6.3690925,6.3690925
23,50,-6.1394835,6.1394835
24,15,5.695954,5.695954
25,184,5.530671,5.530671
26,365,-5.358949,5.358949
27,858,-5.3312345,5.3312345
28,199,5.2781754,5.2781754
29,397,5.268034,5.268034
30,23,5.184754,5.184754
31,197,-5.115693,5.115693
32,24,4.9607377,4.9607377
33,26,4.873282,4.873282
34,72,4.8465357,4.8465357
35,462,4.4951715,4.4951715
36,799,-4.488967,4.488967
37,134,4.4103217,4.4103217
38,137,4.2204423,4.2204423
39,42,4.134558,4.134558
40,785,4.1163373,4.1163373
41,41,4.0718036,4.0718036
42,66,-3.883779,3.883779
43,1141,-3.7401547,3.7401547
44,128,-3.7335458,3.7335458
45,135,3.6145327,3.6145327
46,245,-3.6117566,3.6117566
47,52,3.5313761,3.5313761
48,253,3.435048,3.435048
49,4,-3.3829842,3.3829842
50,97,3.310663,3.310663
51,45,-3.2576792,3.2576792
52,169,-3.242437,3.242437
53,242,3.2067041,3.2067041
54,893,-3.1807437,3.1807437
55,61,3.0929592,3.0929592
56,904,-3.066935,3.066935
57,278,-3.0633833,3.0633833
58,78,-3.000551,3.000551
59,106,2.9476726,2.9476726
60,247,2.864608,2.864608
61,43,-2.8467455,2.8467455
62,659,-2.840761,2.840761
63,848,2.7604523,2.7604523
64,192,-2.7389085,2.7389085
65,309,2.7165875,2.7165875
66,210,2.71044,2.71044
67,185,2.6853888,2.6853888
68,862,2.6807578,2.6807578
69,916,2.5736163,2.5736163
70,124,2.5400167,2.5400167
71,676,-2.5066924,2.5066924
72,1,-2.4839687,2.4839687
73,40,2.4076884,2.4076884
74,590,2.2906842,2.2906842
75,71,-2.2279603,2.2279603
76,235,2.2267482,2.2267482
77,70,-2.2088318,2.2088318
78,588,-2.2063093,2.2063093
79,449,2.1972582,2.1972582
80,19,2.1957574,2.1957574
81,233,2.1937218,2.1937218
82,901,2.148587,2.148587
83,2584,2.1449857,2.1449857
84,318,2.1195204,2.1195204
85,55,2.0851102,2.0851102
86,234,2.0086255,2.0086255
87,126,2.0082126,2.0082126
88,227,1.9265143,1.9265143
89,108,1.875013,1.875013
90,101,1.8735715,1.8735715
91,1006,1.842628,1.842628
92,149,-1.8094019,1.8094019
93,175,1.7782879,1.7782879
94,1016,1.7503861,1.7503861
95,259,1.7332176,1.7332176
96,3035,-1.7213724,1.7213724
97,364,1.7088307,1.7088307
98,325,1.7006994,1.7006994
99,3734,-1.6831847,1.6831847
100,973,1.670425,1.670425
