rank,feature_idx,coefficient,abs_coefficient
1,21,-6.901429,6.901429
2,24,-5.8525586,5.8525586
3,174,-5.812073,5.812073
4,6,5.6223364,5.6223364
5,57,-5.3749576,5.3749576
6,20,5.3493514,5.3493514
7,33,5.149335,5.149335
8,53,-5.0272355,5.0272355
9,11,4.804619,4.804619
10,159,4.6554337,4.6554337
11,857,-4.3802485,4.3802485
12,45,-4.353681,4.353681
13,70,-4.3326125,4.3326125
14,844,-3.9317977,3.9317977
15,144,-3.9244518,3.9244518
16,223,3.8522384,3.8522384
17,23,-3.785423,3.785423
18,30,3.7783647,3.7783647
19,48,-3.7016168,3.7016168
20,125,-3.6538248,3.6538248
21,339,-3.6303797,3.6303797
22,427,-3.5969582,3.5969582
23,42,3.4723964,3.4723964
24,65,3.3283203,3.3283203
25,195,-3.3157306,3.3157306
26,898,3.1952531,3.1952531
27,503,3.1939242,3.1939242
28,998,3.1868012,3.1868012
29,850,3.1141355,3.1141355
30,37,-3.053803,3.053803
31,54,-3.0527122,3.0527122
32,501,-3.038568,3.038568
33,562,-3.0300376,3.0300376
34,220,2.981797,2.981797
35,71,2.8557403,2.8557403
36,160,-2.8189223,2.8189223
37,470,-2.7798817,2.7798817
38,810,-2.7455246,2.7455246
39,357,-2.7213657,2.7213657
40,481,-2.695346,2.695346
41,252,2.6905663,2.6905663
42,985,-2.659362,2.659362
43,36,-2.651489,2.651489
44,381,-2.5973709,2.5973709
45,152,-2.592036,2.592036
46,10,-2.592014,2.592014
47,82,2.5604792,2.5604792
48,140,-2.5575914,2.5575914
49,49,-2.5375016,2.5375016
50,785,2.4974537,2.4974537
51,173,-2.4943328,2.4943328
52,96,2.4806275,2.4806275
53,305,-2.4506707,2.4506707
54,895,2.4353108,2.4353108
55,111,-2.4012132,2.4012132
56,87,-2.3963642,2.3963642
57,807,-2.376356,2.376356
58,475,2.3746278,2.3746278
59,103,-2.3639526,2.3639526
60,119,-2.3618402,2.3618402
61,169,2.3565905,2.3565905
62,219,-2.303986,2.303986
63,380,2.2913735,2.2913735
64,846,2.289298,2.289298
65,206,2.2710233,2.2710233
66,1012,-2.214111,2.214111
67,76,-2.181313,2.181313
68,180,2.1696923,2.1696923
69,1338,2.1488266,2.1488266
70,868,-2.1357722,2.1357722
71,83,-2.1312332,2.1312332
72,177,-2.1215618,2.1215618
73,245,-2.1177232,2.1177232
74,568,-2.1142051,2.1142051
75,334,2.105472,2.105472
76,954,2.1044478,2.1044478
77,715,-2.0331178,2.0331178
78,712,2.0265822,2.0265822
79,494,-1.9941868,1.9941868
80,236,1.9832321,1.9832321
81,72,1.979016,1.979016
82,805,1.9716377,1.9716377
83,992,1.9280646,1.9280646
84,179,1.9223527,1.9223527
85,127,-1.9210452,1.9210452
86,918,-1.8374888,1.8374888
87,790,1.8165846,1.8165846
88,8,1.8099426,1.8099426
89,875,1.8014488,1.8014488
90,605,-1.7696265,1.7696265
91,12,1.7683618,1.7683618
92,217,1.7679949,1.7679949
93,135,1.7648263,1.7648263
94,3787,-1.7631012,1.7631012
95,772,1.7537575,1.7537575
96,18,-1.747896,1.747896
97,306,1.7360739,1.7360739
98,222,-1.7355196,1.7355196
99,164,1.7253109,1.7253109
100,737,-1.7225665,1.7225665
