rank,feature_idx,coefficient,abs_coefficient
1,47,-5.5639267,5.5639267
2,129,-4.8392425,4.8392425
3,48,-4.2526784,4.2526784
4,243,4.232854,4.232854
5,20,3.385973,3.385973
6,903,-3.3843584,3.3843584
7,22,-2.3414547,2.3414547
8,38,2.2554262,2.2554262
9,18,1.9026294,1.9026294
10,43,1.7109898,1.7109898
11,451,-1.67656,1.67656
12,738,1.5991096,1.5991096
13,21,1.5252289,1.5252289
14,63,1.4281449,1.4281449
15,158,1.413102,1.413102
16,6,1.4027451,1.4027451
17,41,1.3506348,1.3506348
18,203,-1.3176289,1.3176289
19,8,1.2717427,1.2717427
20,331,1.2630737,1.2630737
21,29,1.2164743,1.2164743
22,845,-1.1943561,1.1943561
23,177,1.1806675,1.1806675
24,1,1.0786319,1.0786319
25,30,-1.0584546,1.0584546
26,39,-1.0560493,1.0560493
27,2,-1.0150197,1.0150197
28,948,-1.0094637,1.0094637
29,710,-0.99762964,0.99762964
30,34,-0.9630688,0.9630688
31,113,0.96209747,0.96209747
32,102,0.91788954,0.91788954
33,3595,-0.91090244,0.91090244
34,731,-0.90918547,0.90918547
35,45,-0.9078981,0.9078981
36,3,-0.90059596,0.90059596
37,136,-0.8966879,0.8966879
38,32,-0.8534347,0.8534347
39,714,0.8270067,0.8270067
40,289,0.80676943,0.80676943
41,61,-0.77958196,0.77958196
42,972,-0.74392295,0.74392295
43,53,-0.7417487,0.7417487
44,518,-0.73714143,0.73714143
45,920,-0.7215835,0.7215835
46,228,0.71634394,0.71634394
47,10,0.70259213,0.70259213
48,94,0.6549752,0.6549752
49,560,-0.64150006,0.64150006
50,489,-0.63051325,0.63051325
51,238,-0.6244705,0.6244705
52,241,-0.6237073,0.6237073
53,26,-0.6176428,0.6176428
54,98,0.6091659,0.6091659
55,141,0.5996528,0.5996528
56,847,-0.54967505,0.54967505
57,389,0.54315203,0.54315203
58,31,-0.5378911,0.5378911
59,58,0.53504527,0.53504527
60,538,0.50586426,0.50586426
61,110,-0.5023859,0.5023859
62,929,-0.4965453,0.4965453
63,130,0.493907,0.493907
64,196,0.49208304,0.49208304
65,779,-0.49085873,0.49085873
66,27,-0.44885948,0.44885948
67,138,-0.4395766,0.4395766
68,54,0.41001478,0.41001478
69,11,0.40734455,0.40734455
70,165,-0.39535558,0.39535558
71,68,-0.3837179,0.3837179
72,976,-0.38341603,0.38341603
73,188,-0.37748697,0.37748697
74,40,-0.36816624,0.36816624
75,44,-0.35407513,0.35407513
76,126,-0.35355148,0.35355148
77,140,0.35175478,0.35175478
78,250,-0.33092472,0.33092472
79,469,0.32625562,0.32625562
80,193,-0.29636922,0.29636922
81,51,0.29629126,0.29629126
82,124,-0.2957669,0.2957669
83,83,0.28796133,0.28796133
84,723,-0.27910993,0.27910993
85,3529,-0.2745599,0.2745599
86,681,-0.26996988,0.26996988
87,328,0.23330936,0.23330936
88,1016,-0.23015627,0.23015627
89,13,0.22192231,0.22192231
90,908,-0.22171436,0.22171436
91,42,-0.2165506,0.2165506
92,822,-0.19997117,0.19997117
93,348,-0.19553366,0.19553366
94,115,0.17357779,0.17357779
95,70,0.17270023,0.17270023
96,33,-0.15978317,0.15978317
97,652,-0.1412058,0.1412058
98,576,-0.13040817,0.13040817
99,99,-0.11862097,0.11862097
100,217,0.11734115,0.11734115
