rank,feature_idx,coefficient,abs_coefficient
1,633,1.5436513,1.5436513
2,949,-1.1940769,1.1940769
3,401,-0.9982012,0.9982012
4,734,-0.9982006,0.9982006
5,268,-0.9800688,0.9800688
6,863,0.97438467,0.97438467
7,143,0.9741529,0.9741529
8,881,-0.8768842,0.8768842
9,284,-0.84490186,0.84490186
10,76,-0.7932793,0.7932793
11,134,-0.78219426,0.78219426
12,342,0.781287,0.781287
13,371,-0.7769069,0.7769069
14,381,-0.7764034,0.7764034
15,941,-0.77043,0.77043
16,179,-0.76419395,0.76419395
17,234,0.76289326,0.76289326
18,61,-0.7060191,0.7060191
19,871,0.7035758,0.7035758
20,609,-0.6803373,0.6803373
21,859,-0.67949146,0.67949146
22,437,-0.6652083,0.6652083
23,557,-0.65742993,0.65742993
24,383,0.6572389,0.6572389
25,588,0.65415955,0.65415955
26,47,0.59465814,0.59465814
27,858,-0.59410614,0.59410614
28,523,0.59340435,0.59340435
29,687,0.59222734,0.59222734
30,365,-0.5921365,0.5921365
31,630,0.59148,0.59148
32,1011,0.59010375,0.59010375
33,679,-0.5898797,0.5898797
34,767,-0.58919007,0.58919007
35,218,-0.5875325,0.5875325
36,925,0.5869699,0.5869699
37,339,-0.58506256,0.58506256
38,330,0.58408266,0.58408266
39,694,-0.58001924,0.58001924
40,145,-0.49777856,0.49777856
41,120,0.49696955,0.49696955
42,571,-0.49490014,0.49490014
43,484,-0.49471143,0.49471143
44,786,-0.4928024,0.4928024
45,89,-0.49267477,0.49267477
46,559,0.49127826,0.49127826
47,967,0.49060425,0.49060425
48,313,-0.49033874,0.49033874
49,880,-0.48931095,0.48931095
50,826,-0.48508045,0.48508045
51,91,-0.4805532,0.4805532
52,729,-0.47659597,0.47659597
53,1022,0.45919073,0.45919073
54,801,0.44452256,0.44452256
55,989,0.4387741,0.4387741
56,853,0.43849033,0.43849033
57,136,0.43685684,0.43685684
58,452,0.42766896,0.42766896
59,444,0.4236072,0.4236072
60,762,-0.40622547,0.40622547
61,515,0.4022895,0.4022895
62,725,-0.40091768,0.40091768
63,382,-0.3990654,0.3990654
64,613,0.39861757,0.39861757
65,791,0.3967655,0.3967655
66,577,0.3962651,0.3962651
67,582,-0.39384905,0.39384905
68,950,-0.39316368,0.39316368
69,526,0.3907876,0.3907876
70,872,-0.39017624,0.39017624
71,45,0.38854602,0.38854602
72,103,0.36976713,0.36976713
73,266,-0.36686528,0.36686528
74,459,-0.3610215,0.3610215
75,623,-0.35863277,0.35863277
76,752,-0.35350648,0.35350648
77,776,-0.35163224,0.35163224
78,11,0.34266046,0.34266046
79,607,0.33031288,0.33031288
80,50,-0.32250535,0.32250535
81,678,0.32001323,0.32001323
82,435,0.31694838,0.31694838
83,469,-0.3112796,0.3112796
84,220,-0.31117916,0.31117916
85,961,0.3093889,0.3093889
86,970,0.30636078,0.30636078
87,316,0.30470955,0.30470955
88,906,-0.30453476,0.30453476
89,834,0.3045156,0.3045156
90,996,0.30255905,0.30255905
91,830,-0.30114955,0.30114955
92,277,-0.29939988,0.29939988
93,303,-0.29938853,0.29938853
94,228,-0.2988294,0.2988294
95,861,0.29664582,0.29664582
96,890,-0.2960241,0.2960241
97,599,-0.29453906,0.29453906
98,586,0.29397786,0.29397786
99,591,-0.29232946,0.29232946
100,419,0.29202178,0.29202178
