rank,feature_idx,coefficient,abs_coefficient
1,22,11.030743,11.030743
2,48,10.602168,10.602168
3,53,9.277319,9.277319
4,246,8.5557165,8.5557165
5,92,7.7929993,7.7929993
6,3110,7.646953,7.646953
7,128,6.6378245,6.6378245
8,35,6.5915174,6.5915174
9,1016,6.334366,6.334366
10,63,6.058963,6.058963
11,3642,5.8277965,5.8277965
12,159,5.696776,5.696776
13,412,5.2636385,5.2636385
14,914,4.9558835,4.9558835
15,899,4.8524485,4.8524485
16,154,4.6176467,4.6176467
17,188,4.5919433,4.5919433
18,144,4.2908773,4.2908773
19,731,4.268697,4.268697
20,33,4.230406,4.230406
21,521,4.143013,4.143013
22,114,4.132828,4.132828
23,954,3.9790235,3.9790235
24,2542,3.97445,3.97445
25,147,3.9619544,3.9619544
26,179,3.903343,3.903343
27,32,3.9025197,3.9025197
28,13,3.875963,3.875963
29,171,3.7760494,3.7760494
30,18,3.7465787,3.7465787
31,111,3.6108387,3.6108387
32,134,3.592721,3.592721
33,801,3.5803246,3.5803246
34,140,3.4855347,3.4855347
35,495,3.2523956,3.2523956
36,168,3.238717,3.238717
37,2380,3.227759,3.227759
38,173,3.1541893,3.1541893
39,266,3.0641928,3.0641928
40,133,2.9724934,2.9724934
41,627,2.9408083,2.9408083
42,97,2.871037,2.871037
43,294,2.8655295,2.8655295
44,5,2.852787,2.852787
45,61,2.803791,2.803791
46,1023,2.7729552,2.7729552
47,2386,2.767063,2.767063
48,44,2.761022,2.761022
49,760,2.7041569,2.7041569
50,433,2.6904817,2.6904817
51,751,2.619919,2.619919
52,3605,2.5722187,2.5722187
53,38,2.5651011,2.5651011
54,748,2.560102,2.560102
55,191,2.5514812,2.5514812
56,632,2.5429864,2.5429864
57,775,2.506586,2.506586
58,762,2.487599,2.487599
59,850,2.482276,2.482276
60,156,2.4143128,2.4143128
61,939,2.4055114,2.4055114
62,121,2.3699093,2.3699093
63,780,2.3599315,2.3599315
64,361,2.3013203,2.3013203
65,197,2.2662983,2.2662983
66,579,2.2087936,2.2087936
67,893,2.1992288,2.1992288
68,58,2.1980398,2.1980398
69,19,2.154364,2.154364
70,4087,2.144238,2.144238
71,2417,2.1031954,2.1031954
72,388,2.077203,2.077203
73,150,2.069069,2.069069
74,149,2.03957,2.03957
75,4065,2.0204625,2.0204625
76,71,2.0148664,2.0148664
77,376,1.9740773,1.9740773
78,422,1.9528404,1.9528404
79,152,1.9342046,1.9342046
80,1245,1.9288654,1.9288654
81,1012,1.9252694,1.9252694
82,55,1.9186631,1.9186631
83,526,1.9147497,1.9147497
84,894,1.9110825,1.9110825
85,417,1.8925053,1.8925053
86,43,1.8788562,1.8788562
87,999,1.8695946,1.8695946
88,527,1.8556544,1.8556544
89,164,1.8359691,1.8359691
90,453,1.8214726,1.8214726
91,410,1.7627559,1.7627559
92,59,1.7623243,1.7623243
93,539,1.759662,1.759662
94,340,1.7401166,1.7401166
95,74,1.7385916,1.7385916
96,747,1.6961877,1.6961877
97,684,1.6914314,1.6914314
98,372,1.6898229,1.6898229
99,2047,1.658654,1.658654
100,2870,1.644994,1.644994
