rank,feature_idx,coefficient,abs_coefficient
1,495,-4.017171,4.017171
2,801,3.3852725,3.3852725
3,557,-2.8219256,2.8219256
4,372,-2.7957096,2.7957096
5,999,-2.7861998,2.7861998
6,412,2.7358265,2.7358265
7,53,2.4303875,2.4303875
8,38,-2.3777936,2.3777936
9,246,-2.1349885,2.1349885
10,114,-2.1340783,2.1340783
11,48,-2.1191227,2.1191227
12,63,2.1002748,2.1002748
13,140,-2.008988,2.008988
14,388,1.9930351,1.9930351
15,133,1.9835325,1.9835325
16,22,1.7224799,1.7224799
17,19,-1.6357276,1.6357276
18,13,-1.6016808,1.6016808
19,232,1.5594338,1.5594338
20,523,-1.5299947,1.5299947
21,888,1.4725946,1.4725946
22,779,-1.4196106,1.4196106
23,963,-1.3702526,1.3702526
24,692,-1.262208,1.262208
25,318,-1.2453727,1.2453727
26,751,-1.2298465,1.2298465
27,111,-1.1988968,1.1988968
28,126,-1.1426187,1.1426187
29,2043,1.1327182,1.1327182
30,23,-1.0814426,1.0814426
31,876,1.0127026,1.0127026
32,252,0.9723695,0.9723695
33,606,-0.95698094,0.95698094
34,570,-0.9394934,0.9394934
35,80,0.93124455,0.93124455
36,970,0.87704855,0.87704855
37,150,0.8604801,0.8604801
38,760,0.8416051,0.8416051
39,684,0.8320933,0.8320933
40,2542,-0.8317723,0.8317723
41,58,0.8055465,0.8055465
42,3605,-0.76701665,0.76701665
43,583,-0.7503103,0.7503103
44,627,-0.74242634,0.74242634
45,748,-0.70765054,0.70765054
46,1875,0.67421186,0.67421186
47,47,-0.6725246,0.6725246
48,43,0.667196,0.667196
49,636,0.6665776,0.6665776
50,121,-0.66495466,0.66495466
51,180,0.65594786,0.65594786
52,850,0.64492154,0.64492154
53,154,-0.61844224,0.61844224
54,39,-0.60692877,0.60692877
55,2380,0.5912166,0.5912166
56,4025,-0.5369569,0.5369569
57,885,-0.52427083,0.52427083
58,3642,-0.50763124,0.50763124
59,250,0.49687183,0.49687183
60,221,-0.4954251,0.4954251
61,1873,0.4601876,0.4601876
62,909,-0.45927486,0.45927486
63,481,-0.44485468,0.44485468
64,128,0.43710542,0.43710542
65,670,0.42689368,0.42689368
66,710,-0.42266425,0.42266425
67,899,-0.4164809,0.4164809
68,573,-0.39381695,0.39381695
69,69,0.39103073,0.39103073
70,1016,0.3895669,0.3895669
71,473,0.3813128,0.3813128
72,186,0.37492624,0.37492624
73,50,-0.3691226,0.3691226
74,497,0.36744428,0.36744428
75,544,0.36674058,0.36674058
76,197,-0.36153474,0.36153474
77,40,0.34847233,0.34847233
78,601,0.33343253,0.33343253
79,14,0.32554135,0.32554135
80,183,0.29977244,0.29977244
81,3905,0.2956657,0.2956657
82,803,-0.2876872,0.2876872
83,969,-0.28607,0.28607
84,298,0.28564906,0.28564906
85,702,-0.28043482,0.28043482
86,2711,0.27047706,0.27047706
87,914,-0.2665802,0.2665802
88,655,0.2659032,0.2659032
89,168,0.2533589,0.2533589
90,356,0.24721599,0.24721599
91,137,0.24041556,0.24041556
92,463,0.23955601,0.23955601
93,998,-0.2173857,0.2173857
94,954,0.18564732,0.18564732
95,492,0.18206213,0.18206213
96,97,-0.17192824,0.17192824
97,79,0.1700396,0.1700396
98,328,-0.16968416,0.16968416
99,762,0.16751601,0.16751601
100,4035,0.15087773,0.15087773
