rank,feature_idx,coefficient,abs_coefficient
1,371,2.5013835,2.5013835
2,935,2.2568674,2.2568674
3,101,2.2078707,2.2078707
4,70,2.203965,2.203965
5,572,2.0581572,2.0581572
6,643,1.9773954,1.9773954
7,256,1.9748307,1.9748307
8,502,1.844026,1.844026
9,597,1.8178635,1.8178635
10,327,1.797924,1.797924
11,1023,1.7899076,1.7899076
12,521,1.7874829,1.7874829
13,441,1.732627,1.732627
14,45,1.7165127,1.7165127
15,79,1.7046512,1.7046512
16,848,1.6887811,1.6887811
17,668,1.6774076,1.6774076
18,864,1.6670638,1.6670638
19,655,1.6172768,1.6172768
20,565,1.6133355,1.6133355
21,443,1.6007954,1.6007954
22,379,1.5604967,1.5604967
23,670,1.5597228,1.5597228
24,949,1.5576683,1.5576683
25,471,1.5020567,1.5020567
26,64,1.4923763,1.4923763
27,368,1.4917241,1.4917241
28,36,1.4851748,1.4851748
29,760,1.4830381,1.4830381
30,411,1.4524223,1.4524223
31,303,1.4372197,1.4372197
32,484,1.4336745,1.4336745
33,549,1.4309095,1.4309095
34,428,1.4296712,1.4296712
35,150,1.4266878,1.4266878
36,413,1.4193207,1.4193207
37,973,1.4191914,1.4191914
38,638,1.4123856,1.4123856
39,403,1.4079523,1.4079523
40,311,1.3737048,1.3737048
41,343,1.3729352,1.3729352
42,38,1.3729254,1.3729254
43,729,1.3724484,1.3724484
44,631,1.3639965,1.3639965
45,758,1.3547312,1.3547312
46,811,1.3474191,1.3474191
47,116,1.3440157,1.3440157
48,67,1.3393177,1.3393177
49,23,1.3370391,1.3370391
50,161,1.333425,1.333425
51,779,1.3170538,1.3170538
52,54,1.3160769,1.3160769
53,860,1.3125756,1.3125756
54,51,1.310749,1.310749
55,42,1.3071947,1.3071947
56,420,1.2980275,1.2980275
57,98,1.2941607,1.2941607
58,166,1.2904729,1.2904729
59,917,1.2894479,1.2894479
60,648,1.2858783,1.2858783
61,977,1.2851602,1.2851602
62,904,1.2836434,1.2836434
63,449,1.2683187,1.2683187
64,945,1.2665642,1.2665642
65,52,1.2636503,1.2636503
66,290,1.2553535,1.2553535
67,923,1.247782,1.247782
68,963,1.2368056,1.2368056
69,712,1.2291627,1.2291627
70,10,1.2268139,1.2268139
71,385,1.223457,1.223457
72,692,1.2187485,1.2187485
73,475,1.2175478,1.2175478
74,1005,1.2161456,1.2161456
75,301,1.215636,1.215636
76,132,1.2094932,1.2094932
77,160,1.199813,1.199813
78,566,1.198108,1.198108
79,174,1.1978544,1.1978544
80,849,1.1973435,1.1973435
81,985,1.1934298,1.1934298
82,262,1.1926589,1.1926589
83,286,1.1922383,1.1922383
84,592,1.1894251,1.1894251
85,229,1.1872829,1.1872829
86,245,1.1861638,1.1861638
87,47,1.1760851,1.1760851
88,789,1.1756738,1.1756738
89,103,1.175145,1.175145
90,853,1.1724154,1.1724154
91,480,1.1701177,1.1701177
92,474,1.1677612,1.1677612
93,781,1.164351,1.164351
94,461,1.1609436,1.1609436
95,255,1.1590538,1.1590538
96,961,1.1541384,1.1541384
97,464,1.1533331,1.1533331
98,903,1.146857,1.146857
99,708,1.1460819,1.1460819
100,751,1.1446952,1.1446952
