n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5146333322198817,0.5500414937759336,0.5169690015090543,0.535021322862091,0.5747021749426209,0.541739613100177,,0.0,0.5983886125806486
2,0.5435270313285966,0.548370758061793,0.546510508362676,0.5498625798366885,0.5376209289368383,0.5491611787776499,,0.0,0.48403923928997583
3,0.5442339093152666,0.54739336492891,0.5495364766725352,0.5521100323875417,0.5386384427729213,0.5564725763596476,,0.0,0.4855492550237062
5,0.5776448240222586,0.6185994576487478,0.5709864656690141,0.578539877920608,0.5900522481240378,0.5652076899743903,,0.0,0.4663414325086324
10,0.6233594192105759,0.66007722007722,0.5919796120472838,0.6337511909776868,0.6441594706213629,0.6066010560599899,,0.0,0.45378612686244074
20,0.6234590158136318,0.659870250231696,0.5918538575201207,0.6338633846622378,0.6441226855654377,0.6066487240414886,,0.0,0.4540078774247368
30,0.6234592614279426,0.659870250231696,0.5918538575201207,0.6338628079415128,0.6441226855654377,0.6066487240414886,,0.0,0.4540078774247368
50,0.6234592614279426,0.659870250231696,0.5918538575201207,0.6338628079415128,0.6441226855654377,0.6066487240414886,,0.0,0.4540078774247368
75,0.6234592614279426,0.659870250231696,0.5918538575201207,0.6338628079415128,0.6441226855654377,0.6066487240414886,,0.0,0.4540078774247368
100,0.6234592614279426,0.659870250231696,0.5918538575201207,0.6338628079415128,0.6441226855654377,0.6066487240414886,,0.0,0.4540078774247368
