n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5069957477507474,0.0,0.5,0.4578164520505429,0.0,0.5,0.36736669420686413,0.0,0.5
2,0.9083165116295201,0.0,0.5,0.9549216620653295,0.0,0.5,0.9525646096051219,0.0,0.5
3,0.904917486941502,0.0,0.5,0.9452106212957203,0.0,0.5,0.9383629583337946,0.0,0.5
5,0.9594406176513433,0.03440094899169632,0.8362502514584591,0.9776868996745859,0.045755926027919586,0.8351557068101145,0.9762935422765513,0.0033447479493509597,0.8016388765612121
10,0.9607516700310074,0.06437291897891231,0.9152082076041038,0.9675918776572892,0.07799503866919598,0.9024603769979223,0.9769239310227074,0.007369713984909633,0.910337285234261
20,0.8581947710514085,0.0,0.5,0.8576626630289674,0.0,0.5,0.8976744131438863,0.0,0.5
30,0.8548824561768603,0.0,0.5,0.8534365550825462,0.0,0.5,0.8915573696528493,0.0,0.5
50,0.9620280384852836,0.059670781893004114,0.908066787366727,0.967484705128153,0.07293013130144908,0.89659270644011,0.9764066717721698,0.0073145245559038665,0.9096557408229253
75,0.9620280384852836,0.059670781893004114,0.908066787366727,0.967484705128153,0.07293013130144908,0.89659270644011,0.9764066717721698,0.0073145245559038665,0.9096557408229253
100,0.9620280384852836,0.059670781893004114,0.908066787366727,0.967484705128153,0.07293013130144908,0.89659270644011,0.9764066717721698,0.0073145245559038665,0.9096557408229253
