n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6302886936352242,0.448945615982242,0.5971636976315924,0.6350637192969371,0.4547553857996122,0.5989181754579174,0.6251060365804485,0.46493175829706607,0.599218894805822
2,0.6302887935444268,0.448945615982242,0.5971636976315924,0.6350637182448831,0.4547509548678775,0.5989131505847954,0.625106023061207,0.464924876026941,0.599211343646719
3,0.6447948104762392,0.4482957827845176,0.6003136349685405,0.6519998962148686,0.4541101758983922,0.601445813542279,0.6282294807907721,0.4568090137710391,0.5975163801383596
5,0.7530412361246099,0.5479214780600462,0.6864585464729653,0.7439483590856656,0.5413833209342289,0.6803070238244608,0.7350514727095633,0.5637610976594027,0.6797959481497113
10,0.793263382238222,0.5769579679467796,0.7106653473323443,0.7848282025337118,0.5764603468672574,0.7094822748685554,0.7888901242942632,0.6016842668092501,0.7151826505993539
20,0.8027602514834518,0.5840978593272171,0.716281043787406,0.7988275595445822,0.5853854913101989,0.7159896006298963,0.8177333579740509,0.6244603144432074,0.7362376782650502
30,0.834320769284874,0.6224874371859297,0.7461562931607755,0.8326201190265012,0.6209855182384869,0.7424854219172656,0.8438022526969018,0.6608436126665115,0.7694193799620952
50,0.847015732102665,0.6354961832061069,0.7556836347127731,0.846860170221555,0.6394548028699638,0.7558046733318937,0.8563144711090601,0.6775139214228606,0.7830355666485911
75,0.8526238354583355,0.6420617244670697,0.7608173691748938,0.852171163380166,0.6458717809541041,0.7602844489803171,0.8622955208754081,0.6841214534594325,0.7879353397898863
100,0.8543221919919177,0.6435612082670906,0.7620394585400787,0.853590180448441,0.6478462206357629,0.7617826962385557,0.8624587675724759,0.6850693306351626,0.7886210484443252
