n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.4701661263463719,0.14540059347181009,0.5,0.4420480994858627,0.0824442424666154,0.5,,0.0,0.0
2,0.49208868117559523,0.14540059347181009,0.5,0.5086576934149054,0.0824442424666154,0.5,,0.0,0.0
3,0.47842981593679146,0.14540059347181009,0.5,0.45858041284663653,0.0824442424666154,0.5,,0.0,0.0
5,0.5935324325042517,0.09200968523002422,0.5240176799886621,0.7376096134333134,0.14332450537466895,0.5387694760198583,,0.0,0.9910138224517164
10,0.6485543110473355,0.1702127659574468,0.5778703408446713,0.7529784832120492,0.10763278227224762,0.6178849823586895,,0.0,0.2001246026969092
20,0.7204670116744615,0.1465889870325127,0.5049359587585034,0.8028351834268888,0.08389061210551776,0.5093951446989439,,0.0,0.002006314611250145
30,0.7240023450786566,0.26778242677824265,0.5792455002834467,0.805930703895021,0.510613751730503,0.6855398879862439,,0.0,0.9448157886400355
50,0.7288901400403912,0.16699801192842942,0.5744822668650794,0.8087476752801208,0.09778709408045537,0.5838099731514124,,0.0,0.0905059080685526
75,0.7249678354414684,0.2417031934877896,0.6363644416099773,0.8078387700570642,0.20028434793847744,0.7183653625200349,,0.0,0.700172120674544
100,0.7325641519628685,0.14730878186968838,0.507757139314059,0.8068357494901439,0.08442274373917152,0.5127706914155961,,0.0,0.004139343829526615
