n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5430085093703644,0.1505455890512299,0.5,0.47008832245939824,0.12524248715243508,0.5,0.5998006465161518,0.08916464891041162,0.5
2,0.7018893188063665,0.06196213425129088,0.5051306576453539,0.758012076918783,0.08535325439084479,0.5181121451733768,0.6634809632390736,0.0268552798806432,0.4530891574808077
3,0.7663253182521634,0.1505455890512299,0.5,0.8187483963976461,0.12524248715243508,0.5,0.8162556260129216,0.08916464891041162,0.5
5,0.7937752193140828,0.1505455890512299,0.5,0.8581046139090514,0.12524248715243508,0.5,0.8344291479767056,0.08916464891041162,0.5
10,0.8238899489715948,0.004889975550122249,0.501119639917811,0.8654693459061622,0.023799313893653515,0.5059664685563688,0.8777982003225528,0.0009041591320072332,0.5002096809344149
20,0.842825932636514,0.014598540145985401,0.5035766423748135,0.885503519721095,0.03370307167235495,0.5085169257860274,0.886483485486142,0.007210455159981974,0.5017937497282596
30,0.8429754497683956,0.13716814159292035,0.5365594797338755,0.8868298312326931,0.17124455389278273,0.5473641040041003,0.885137441593269,0.15229471084585305,0.541477001089428
50,0.843467599182818,0.014634146341463415,0.5036855036855037,0.8857752525081661,0.026132590767912606,0.5065720758361822,0.8862312046327656,0.0022593764121102574,0.5005546624499025
75,0.8459607104283787,0.09722222222222222,0.5253630805557651,0.886670545986004,0.09746192893401015,0.5254255551289057,0.8902714079675892,0.11061665607120152,0.5293155783297873
97,0.8339533346065024,0.0,0.5,0.8796247384419684,0.0,0.5,0.8772429137439206,0.0,0.5
100,0.8339533346065024,0.0,0.5,0.8796247384419684,0.0,0.5,0.8772429137439206,0.0,0.5
