n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6031553229710703,0.16236162361623616,0.5654103405305053,0.6870655195099383,0.2544219046667333,0.6447333877018824,0.6532794890054119,0.029788455017346168,0.6514003521843039
2,0.6017126518099281,0.1628162816281628,0.5664628662454252,0.6844564112462488,0.25239636577227337,0.6414095262216757,0.6478608167942759,0.030286487384586173,0.6724044138908598
3,0.6021600185882631,0.16474605206999574,0.5660628949138906,0.6841668335174176,0.261090059545856,0.6431969129073364,0.647008869037892,0.02274628900802628,0.5582411347941517
5,0.6223045284615438,0.17491467576791808,0.5832946077853379,0.6863734216191135,0.25279648524438536,0.6303255458315715,0.6788576274946929,0.029937384106850123,0.6487861579306029
10,0.6199205952868119,0.171334431630972,0.5976138126515788,0.6858498816088019,0.22893456770751608,0.6166072502695025,0.6871470785148089,0.024230575550223645,0.6479107697575628
20,0.6279075950625503,0.1775846010555728,0.6055479260446072,0.6848288946871568,0.24101424364181784,0.6325495053285263,0.6821547179213123,0.027063181724634698,0.6791248508425689
30,0.6326650575334485,0.17036428375787455,0.5951960668715075,0.6808654392494541,0.22871806973039938,0.6160041300401845,0.6736546214057704,0.022723475355054302,0.623768621459289
50,0.6345418016280914,0.14905542869005606,0.5385284522959047,0.6806447057523666,0.19266899705831717,0.5375597212291302,0.6751630437182932,0.018464101957870325,0.5356834716289771
75,0.6362055552087597,0.1772300469483568,0.6084558101037845,0.6777159383618161,0.23616097127008215,0.626720783943236,0.6708831314993735,0.025180819716046077,0.6578313529244728
100,0.6360781076963269,0.15862068965517243,0.5687742612668225,0.6796089710302254,0.20745521271348677,0.5752154526234973,0.6762842607442063,0.019548244829846833,0.5619188121132072
