n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5732860951824391,0.0,0.5,0.2922116397733362,0.0,0.5,,0.0,1.0
2,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
3,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
5,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
10,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
20,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
30,0.8909428759268052,0.008761449621664676,0.5,0.7233193958577808,0.017363646221129864,0.5,,0.0,0.0
50,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
75,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
100,0.5206910405785456,0.008761449621664676,0.5,0.516353644810311,0.017363646221129864,0.5,,0.0,0.0
