base_model,sae_config,target_group,target,dense_baseline_roc_auc,sparse_baseline_roc_auc,n_nonzero,max_roc_auc,n_at_max_roc_auc,n_features_50pct,n_features_60pct,n_features_70pct,n_features_80pct,n_features_90pct,n_features_100pct
biomedparse,D_128_512_2048_8192_K_30_60_120_240,modality,mri,0.9999886502324216,0.9999500517103792,1082,0.9999182313181654,100.0,1.0,1.0,1.0,1.0,1.0,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,modality,ct,0.9999886510946694,0.9999500517103792,1082,0.9999182313181654,100.0,1.0,1.0,1.0,1.0,1.0,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,sex,f,0.8275105199227091,0.5729367692545756,202,0.528599430350581,100.0,1.0,3.0,,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,sex,m,0.8275105201494352,0.5729367690278494,202,0.528599430350581,100.0,1.0,3.0,,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,slice_orientation,x,0.9960688500398044,0.9738401519996968,498,0.9022169769589446,100.0,1.0,1.0,1.0,5.0,75.0,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,slice_orientation,y,0.9923278712661368,0.9174833185345312,498,0.8481659819417091,100.0,1.0,1.0,1.0,20.0,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,slice_orientation,z,0.9990929701278904,0.9757023128474466,498,0.9563616439807106,100.0,1.0,1.0,1.0,1.0,2.0,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,age_group,<40,0.9404653369771802,0.7774360460997994,342,0.7501749472304149,50.0,1.0,3.0,3.0,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,age_group,>=80,0.940465340265384,0.7774360460997995,342,0.7501749669596367,50.0,1.0,3.0,3.0,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,kvp,80.0,0.877703306006336,0.7454466635508116,387,0.7092998932900221,100.0,1.0,1.0,10.0,75.0,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,kvp,120.0,0.8777033096703237,0.7454466635508116,387,0.7092998932900221,100.0,1.0,1.0,10.0,75.0,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,B,0.5556141110158075,0.6065759752709212,2062,0.8668706691653225,75.0,1.0,1.0,1.0,1.0,2.0,2.0
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,C,0.5926474824201644,0.5228907323666409,2062,0.7837791443306739,100.0,1.0,1.0,1.0,1.0,1.0,2.0
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,F,0.2649838428447016,0.3765264788912238,2062,0.7233193958577808,30.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,G,0.4408712203389369,0.4193294446125969,2062,0.6496369909483923,100.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,H,,,2062,,,,,,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,I,,,2062,0.7268004379126326,100.0,,,,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,institute,J,,,2062,0.7206761112064315,30.0,,,,,,
biomedparse,D_128_512_2048_8192_K_30_60_120_240,manufacturer,ge,0.9852162208922532,0.9895026786577694,2133,0.9908356697369611,50.0,1.0,1.0,2.0,2.0,2.0,10.0
