n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7459134096082658,0.5685305591677503,0.6670376110637585,0.7326864119488988,0.5442067550833278,0.6511653415216649,0.7573274402620794,0.5968658232016906,0.6970233726301507
2,0.7903466089235622,0.6261633919338159,0.7170267371506291,0.7848157001250995,0.617768223272376,0.7162007560559536,0.8041168209932352,0.6317558188804956,0.7283250216089296
3,0.7788742231399407,0.634856855851331,0.7240202658594801,0.7710679343417112,0.6232136632973161,0.7205661139542818,0.7860793945934494,0.6022205149063738,0.7047650053872494
5,0.8217599043602672,0.6786645800730308,0.7628400451905706,0.8141002216611699,0.6713491257650138,0.7639426252701011,0.8275801085051538,0.6447271358675197,0.7389865181485811
10,0.8619459397206753,0.7324233839814577,0.810310153699729,0.8573686243147959,0.7204650081376424,0.808104162856818,0.8710859466811378,0.7287395244938321,0.8107955618019486
20,0.8741808575307326,0.7523076923076923,0.8281467212299889,0.8732469105273133,0.7381757384358164,0.824123591038326,0.8754403900886907,0.7403455215917226,0.8252316294387949
30,0.883308063481923,0.765661252900232,0.8394268895483858,0.8820895472307517,0.7460919572527092,0.830439917206869,0.8863488894746661,0.7498911505388048,0.8330891856386597
50,0.8913127484091583,0.7740259740259741,0.8460148873920734,0.8907224772432616,0.7536696426046213,0.8365302108495394,0.8957012549724612,0.7601996291043962,0.842044948007947
75,0.8967036198632078,0.7777777777777778,0.8488535129077242,0.8967319275484287,0.7604834054151248,0.8421536895257591,0.9014395983161991,0.7669388535379742,0.8478821911992518
100,0.9016439618274041,0.7815191855912295,0.8520170882503612,0.9022169769589446,0.7655259581666303,0.8461375457750483,0.9069739120773452,0.7721392215774239,0.8519530126028954
