n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.011137629276054098,0.5,0.5,0.04525725363305276,0.5,,0.0,0.0
2,0.7096454430525226,0.0,0.5,0.6351978984285531,0.0,0.5,,0.0,1.0
3,0.7171517641650386,0.0,0.5,0.6124647469701183,0.0,0.5,,0.0,1.0
5,0.6219112745661418,0.0,0.5,0.4460463452414898,0.0,0.5,,0.0,1.0
10,0.5,0.011137629276054098,0.5,0.5,0.04525725363305276,0.5,,0.0,0.0
20,0.7558685783243305,0.031496062992125984,0.5491035513159407,0.6761402316480309,0.049463001280914375,0.5144340602980357,,0.0,0.9639496943010105
30,0.5,0.011137629276054098,0.5,0.5,0.04525725363305276,0.5,,0.0,0.0
50,0.7729643144466154,0.01647848642050656,0.65812837604873,0.6655250504723123,0.06304449750853205,0.6355994209769084,,0.0,0.38555031097876474
75,0.7196263360533273,0.0,0.5,0.6000272794713954,0.0,0.5,,0.0,1.0
100,0.7372392541087232,0.0,0.5,0.6181553951782051,0.0,0.5,,0.0,1.0
