n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.527684294573451,0.4237080578006368,0.5130142851823811,0.5030584895334202,0.40291631256429755,0.4981490208472328,0.5474371182639948,0.46168627793513933,0.5341053325267742
2,0.6239889292939322,0.5262908574135481,0.5912658913862792,0.6076030073633617,0.5137064363265551,0.5829588562070686,0.6502305414302758,0.5327516570008285,0.606070177466453
3,0.671033390010715,0.5516569200779727,0.6199198242587467,0.6592934059999616,0.5301012778379733,0.6070372839261193,0.6995589097952433,0.6189139526756626,0.6436483946403874
5,0.6929186369296579,0.5672816728167281,0.6352065828503345,0.6801774546465772,0.5430451537846288,0.621026321341676,0.7220843618071291,0.6325509636873092,0.6581163908074068
10,0.7069614717916259,0.5768849206349206,0.6449273743478998,0.6993852146332562,0.5508380713283615,0.6304753178997944,0.7229358237025896,0.6275305469137472,0.651787998848042
20,0.718083725317414,0.5759030058095479,0.647764139351892,0.7116973531570359,0.5579577424897566,0.6404134706174588,0.732750534027414,0.6318320645484797,0.658562758618479
30,0.7218490892317111,0.5806288032454361,0.6523707279940758,0.7157429526943508,0.5613477975641525,0.6443789341808834,0.735549725124186,0.632432928648475,0.6608001434311239
50,0.7313880166639776,0.590373783922171,0.6621101361498269,0.7287578075406244,0.5750795640852541,0.6577090349957838,0.7428419609912542,0.6370974260672756,0.6666363998536646
75,0.7334274095126987,0.5891711573004875,0.661564461213227,0.7306902020782263,0.57692680186724,0.6598375332024846,0.7447098605708633,0.6388256371727447,0.6684630074327984
100,0.7341932574601087,0.5902902645774467,0.6626549836793962,0.7318561483104588,0.577642402607481,0.660654376533604,0.7449175467220823,0.6378285701046096,0.6680698630543664
