n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6402851078759846,0.1824175824175824,0.5981360136784574,0.6567097145559356,0.17225305216426193,0.6036973152248433,0.6158022535296085,0.18437604292352322,0.5885742437841796
2,0.665748139472826,0.14431521481129836,0.5540430021446714,0.6712734053820225,0.1361933111539135,0.5686144881205857,0.6250720319356642,0.1545463568177629,0.547941500936705
3,0.6598743835305046,0.0,0.5,0.6682291569008203,0.0,0.5,0.6226794345969081,0.0,0.5
5,0.6502428197981834,0.0,0.5,0.6550913905057272,0.0,0.5,0.615419166550286,0.0,0.5
10,0.6485438224567853,0.0,0.5,0.6550174080058122,0.0,0.5,0.6148824911108867,0.0,0.5
16,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
20,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
30,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
50,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
75,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
100,0.6535052282543165,0.13014210919970082,0.5,0.6582976311379379,0.11873749205980588,0.5,0.6181674761124585,0.14124066459267692,0.5
