n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7063885866506585,0.04145077720207254,0.5093757872338145,0.7350936251632809,0.07519379844961241,0.5203834024995967,0.7324007571709505,0.1076923076923077,0.5342138253672261
2,0.744419684731282,0.05975941016686069,0.5,0.7308822691960102,0.05805459980822381,0.5,0.7377043816316071,0.061411858629901436,0.5
3,0.7318527531073962,0.05975941016686069,0.5,0.7211167415143898,0.05805459980822381,0.5,0.7279910524421762,0.061411858629901436,0.5
5,0.7169334998472431,0.05975941016686069,0.5,0.7016287470803537,0.05805459980822381,0.5,0.7031198042187836,0.061411858629901436,0.5
10,0.7162728934293111,0.05975941016686069,0.5,0.7021052271842771,0.05805459980822381,0.5,0.7160827653642454,0.061411858629901436,0.5
20,0.7243482374002391,0.06863636363636363,0.5677463271355141,0.7099529858540489,0.06393753267119708,0.5471922612409607,0.7272024478104564,0.07795647016634023,0.6074488936870917
30,0.728808335700618,0.1371280724450194,0.6136792427547689,0.7140541355140432,0.1490130419457173,0.6421634474077579,0.7327128366466378,0.17964188400155703,0.6191935802226802
50,0.7273102465013321,0.19068736141906872,0.6134032084300347,0.7122024237438842,0.18104258549634877,0.6203828296144274,0.7314916994725611,0.19793433019885925,0.5914876282701388
73,0.7314078822539409,0.10843989769820972,0.6692693398223732,0.7157860722855707,0.0971189344826977,0.6476854122851299,0.7346148333533258,0.1264424430059105,0.670673705848355
75,0.7314078822539409,0.10843989769820972,0.6692693398223732,0.7157860722855707,0.0971189344826977,0.6476854122851299,0.7346148333533258,0.1264424430059105,0.670673705848355
100,0.7348462515610679,0.0,0.5,0.7210019308539201,0.0,0.5,0.7392804731318815,0.0,0.5
