n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.636929619736113,0.37674569665475804,0.6015734842682707,0.6242070244039454,0.3439757859793009,0.5828562661054477,0.650834758175516,0.40980879906975376,0.6087134375376403
2,0.647344130411771,0.373457819273091,0.5991326222454685,0.6383418052313287,0.35362029992951416,0.5920857482249633,0.6444954365021522,0.39385245214006476,0.5981455743727029
3,0.6537277318040585,0.3845478489903424,0.6072161096893505,0.6602308993782889,0.37825576847868597,0.6159491825966288,0.6430947336183372,0.40126177969009846,0.5949879453073281
5,0.659756162865273,0.38358840768479324,0.6081787557830373,0.6683766327680877,0.3753053463950238,0.6132990762476804,0.656218676512224,0.40267280382875226,0.5962092384214104
10,0.6640771113145163,0.3899895724713243,0.6150243774867838,0.676075394392587,0.38829701804165107,0.6249852511634097,0.6585731873149238,0.40062447788992206,0.5959609348747419
20,0.6633895603335015,0.3900683699172364,0.6154590003673747,0.6742309826915918,0.3850950280455263,0.6220716584825037,0.65921298842154,0.40255205777185726,0.5991365985477853
30,0.6633883149957348,0.3900683699172364,0.6154590003673747,0.6742395966236179,0.38517469567822227,0.622140088012823,0.6592254518731482,0.40247443504608005,0.5990671173095611
50,0.6633936699481316,0.3900683699172364,0.6154590003673747,0.6742347598650997,0.3851349511125637,0.6221050487923903,0.6592262390453383,0.4024463802269635,0.5990364146762925
73,0.6633941680832384,0.3900683699172364,0.6154590003673747,0.6742343170560142,0.3851349511125637,0.6221050487923903,0.6592258101207882,0.40246331678029346,0.5990567385025916
75,0.6633941680832384,0.3900683699172364,0.6154590003673747,0.6742343170560142,0.3851349511125637,0.6221050487923903,0.6592258101207882,0.40246331678029346,0.5990567385025916
100,0.6633930472792483,0.3900683699172364,0.6154590003673747,0.6742345430070276,0.3851349511125637,0.6221050487923903,0.6592260075622478,0.40246331678029346,0.5990567385025916
