n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7025708868832763,0.4935936546674802,0.6603947985772809,0.6957280916183206,0.49102292709698375,0.6623069403565496,0.7295709919354109,0.5113569692397955,0.6837573036838893
2,0.7025708868832763,0.4935936546674802,0.6603947985772809,0.6957280916183206,0.49102292709698375,0.6623069403565496,0.7295709922366014,0.5113569692397955,0.6837573036838893
3,0.7025708868832763,0.49374427830332623,0.6605282742847022,0.6957280916183206,0.49102802482134456,0.6623114393671093,0.7295709922366014,0.511350460304821,0.6837497669914194
5,0.7358244328240394,0.5332492908919004,0.6941011400996788,0.7325350285016059,0.5261086449132762,0.6923398397145568,0.7554398206566576,0.5296063613463231,0.699217277305014
10,0.7883527650120787,0.5779517286366601,0.7296710324079869,0.7891258238712517,0.5696824984042176,0.7274822598213959,0.8032570986785051,0.5823032886932903,0.7386242848116175
20,0.8069708167180559,0.5836707152496626,0.7321093589674813,0.8071109449573206,0.5694821567106284,0.7257207573128269,0.821960092425758,0.5893350329296791,0.7420828920514504
30,0.8193944886241229,0.5936134453781513,0.740220722412253,0.8184308461504857,0.5788580845288872,0.7333187835758279,0.8407999905546627,0.6102715764417355,0.7571890938159636
50,0.8155586054151541,0.5966101694915255,0.7419610157267167,0.814757485906229,0.5874071177160736,0.7395666486673835,0.8307933243030367,0.603217062557957,0.7526097376668999
75,0.821340317497622,0.6019681031557517,0.7460868413814714,0.8192812902074903,0.5904733959311425,0.7419915479805079,0.836167499564102,0.6111502156767196,0.7578031106182428
100,0.8244181353252081,0.5993904503894345,0.7442215875562321,0.8214444542862611,0.5924664665890855,0.7434326650727359,0.838429785558013,0.6107536929878158,0.7578996265447351
