n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5392859614418768,0.6146162810054936,0.5195423441151824,0.536356355623143,0.619252354852473,0.5208178145192591,0.4386739819575435,0.37765205091937765,0.49205770296637097
2,0.6150555616841584,0.6462231462231462,0.5909189638078219,0.6165694297720231,0.6464783940115686,0.580901683178173,0.5540328419637104,0.4697374276813529,0.5389836079055159
3,0.6246632313754618,0.6341110508229336,0.6083488813320552,0.5971715635176148,0.6204771227612211,0.5940337886204203,0.5966401251539319,0.5844587981992562,0.5795111210746167
5,0.6283867857884327,0.6476190476190476,0.6059488481690818,0.5977176354956426,0.6342574743261715,0.5868109501048047,0.5879734109049102,0.5604967948717948,0.5674612249404067
10,0.6296220894180652,0.6482517482517482,0.6002018556191027,0.6048026555322129,0.6329424120427096,0.5844257332212389,0.5895349382695386,0.5551507791944951,0.5676390753916934
20,0.623501585176425,0.6465532362743378,0.6006042307457764,0.6105239884681646,0.6390645423393507,0.597896556520153,0.6054548167719915,0.5999242997728993,0.5779486281154105
21,0.6233405666072155,0.6472854640980735,0.6003234760277609,0.6104127222334894,0.6395824516857103,0.5973281872332614,0.6055295900021049,0.6005483596482935,0.5781640764055678
30,0.6233431360524688,0.6475223253370688,0.600482610337118,0.6104116437026964,0.6395824516857103,0.5973281872332614,0.6055235550359942,0.6005483596482935,0.5781640764055678
50,0.6233431360524688,0.6475223253370688,0.600482610337118,0.6104116437026964,0.6395824516857103,0.5973281872332614,0.6055235550359942,0.6005483596482935,0.5781640764055678
75,0.6233431360524688,0.6475223253370688,0.600482610337118,0.6104116437026964,0.6395824516857103,0.5973281872332614,0.6055235550359942,0.6005483596482935,0.5781640764055678
100,0.6233431360524688,0.6475223253370688,0.600482610337118,0.6104116437026964,0.6395824516857103,0.5973281872332614,0.6055235550359942,0.6005483596482935,0.5781640764055678
