n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7629112238714916,0.05128205128205128,0.5176814413909373,0.8899875522616735,0.04595060310166571,0.5180522093172887,0.4994311065820622,0.01538225831162862,0.4976745751754131
2,0.7878927777938078,0.03467153284671533,0.6751717855390995,0.9275868775459507,0.030859613512220076,0.7703421597256861,0.4836977776777354,0.2920703846527755,0.47537052244098454
3,0.7898631074324297,0.15591397849462366,0.7662273958260339,0.9384639248467799,0.1395858223815213,0.8329532382067283,0.4781102519754159,0.09598654296002312,0.49220579980417056
5,0.8078990432771775,0.21890547263681592,0.7113611350417768,0.9405947967155133,0.15810610864510674,0.6815776431167517,0.5332104906152979,0.07157604955264969,0.503631579652451
10,0.797159097935276,0.14479638009049775,0.7900733308875965,0.9576913476415367,0.1377371749824315,0.8714070862840604,0.572227688385488,0.13994904522866583,0.5020772926305703
20,0.8048013388348674,0.02054947509492964,0.5268508938618873,0.9682029527513601,0.015572625134281584,0.5543762020021792,0.5628555976672773,0.5028927861146266,0.5345091674316608
30,0.8118582516828181,0.208,0.7476329251151077,0.9661852245552393,0.21939275220372184,0.8321310188785135,0.5670895849797064,0.0928652321630804,0.4973491742086347
50,0.8172251328323695,0.028344279294849638,0.6352932204996723,0.9688285294309787,0.02396519577377253,0.7129015509941427,0.5579148237791955,0.43298613414715054,0.5407047028445638
75,0.8223075940131658,0.21666666666666667,0.7486428221056146,0.9678571877208086,0.22494816862474085,0.8223979435804682,0.5548654272730068,0.08504606661941885,0.49667052729721534
100,0.8176084814859089,0.02346041055718475,0.5795592727092858,0.9704036315087139,0.018535253513814916,0.6267303346959072,0.5546883187578663,0.4850405402452084,0.5523722057717952
