n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.513360335790998,0.032657879205193786,0.5,0.4846442666819062,0.03666768838167471,0.5,0.44810339488746753,0.552271320140338,0.5
2,0.5377164545920105,0.029947916666666668,0.47784058748722774,0.4440387573331257,0.030812892763024527,0.4551947330164607,0.3767702425964003,0.4373653694688796,0.4245015507326293
3,0.5353543521247897,0.04045853000674309,0.5414103025892466,0.44333569611287504,0.025306568772943842,0.46368791670694903,0.3818144255810312,0.29742960423641773,0.417909366583865
5,0.572581969121146,0.03612845673505798,0.5486595558561274,0.5615874442266091,0.04097549901898785,0.5537783049782334,0.42629148386111687,0.5449588230590869,0.503337405012177
10,0.6336364371457764,0.033360128617363344,0.5108806182631686,0.5439622195481224,0.037334610722813744,0.5092716603893653,0.3199678974870733,0.5559642345988705,0.5074178403755869
20,0.6230412804359599,0.03322658126501201,0.5088468578401464,0.5616360621590983,0.03722168756648022,0.507725150396247,0.3114225279100329,0.5551813750365211,0.5060378063603395
30,0.6558326043649889,0.0432928829124303,0.6026951001075688,0.6287887909620393,0.052157607757025486,0.6283894760217645,0.35033820311510366,0.48252700051261205,0.4533863133606286
50,0.6715734199764278,0.05504587155963303,0.515733464670151,0.6468461194189914,0.0,0.49957082497798627,0.3620200524512194,0.012734975519419569,0.4775072429311466
75,0.6656375348863421,0.07627118644067797,0.5707074790926978,0.6358884619758054,0.03927924492325293,0.5115176166887055,0.35198555210885296,0.16070318436140085,0.4181853461667773
100,0.6563569715102019,0.07194244604316546,0.5579229670359289,0.6257398648714353,0.03306485799067401,0.5055084385068571,0.34502715740320744,0.14130088777278677,0.4150877214994354
