n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5695519593872802,0.29878682842287696,0.5516708143056809,0.5477093510254311,0.27471383975026015,0.5253720186705046,0.5510434769939064,0.2906384120171674,0.5296055973886111
2,0.6949892915253506,0.38940586972083036,0.6399062690942305,0.6882979586234089,0.3847627545664497,0.6319326711604265,0.7344369537037163,0.4561650477843993,0.7080212290229533
3,0.714693103392706,0.4201796821008984,0.6714403437856022,0.7209434578461357,0.4238565022421525,0.6698445209605204,0.7399297183319684,0.4615597984374278,0.7155322900786044
5,0.760890591100699,0.485310119695321,0.7297649980784564,0.770361207354368,0.4945414546954489,0.72878978679393,0.7875822366485625,0.47688109631997105,0.7354940132099526
10,0.7830560820339355,0.4954476479514416,0.7335631537789402,0.7975237070088924,0.5136961731070009,0.7402006215943963,0.800781123951927,0.48399732492595776,0.7368361358124517
20,0.7857219336492477,0.4996203492786636,0.7372207786744982,0.7991136956014808,0.5162253318980983,0.7423302530646507,0.8056738055874493,0.4880652762860486,0.7404386256850708
30,0.7860935413462387,0.4992401215805471,0.7367812955547197,0.799459651667027,0.5167281443313766,0.7427557623854968,0.8059659600528024,0.4883445025170744,0.7407281074480239
50,0.7866470606391106,0.5,0.7372680319869417,0.7998750609109225,0.5174660581532191,0.7433953312989146,0.8066305675086158,0.4889152874319747,0.7411837720950676
75,0.7866657707657141,0.49961977186311785,0.7370246637708306,0.7998558561181546,0.5173403766651355,0.7432613143668126,0.8066124046198707,0.48889745195318146,0.7411440320774126
81,0.7866664536170498,0.49961977186311785,0.7370246637708306,0.7998560632700157,0.5173403766651355,0.7432613143668126,0.8066126468899051,0.48889745195318146,0.7411440320774126
100,0.7866664536170498,0.49961977186311785,0.7370246637708306,0.7998560632700157,0.5173403766651355,0.7432613143668126,0.8066126468899051,0.48889745195318146,0.7411440320774126
