n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5538269718787918,0.6215312604480107,0.5299517957341917,0.4888013508343238,0.5614187514374057,0.48590788513827177,0.4510979737289522,0.6086813979411186,0.4745637946007013
2,0.5692037563790457,0.6264775413711584,0.5438003765963539,0.4721076762101366,0.5561421672336293,0.48476887707645716,0.517696084218129,0.5948465736702904,0.5034037717387917
3,0.5776446073133399,0.624723686447883,0.5468232887671254,0.4850700944257679,0.5571604159485982,0.49484892557317783,0.5043823110058712,0.5987907689687474,0.4854524813757881
5,0.5827907041886093,0.6366548642724666,0.5553911173680306,0.48445730990572167,0.565409271011178,0.49735536431205907,0.5062511294086749,0.5995177777023126,0.48450807195367185
10,0.5887613543766966,0.6431570109151973,0.5605667439332096,0.4985800121638573,0.5793603904443874,0.5115720997617675,0.5104233144585412,0.6018176269117298,0.48652461979704986
20,0.5994248628852127,0.6459627329192547,0.563845551959683,0.5049013627941276,0.5811707789066279,0.5171604829946895,0.5266567412006595,0.6055476878980351,0.4913738883805789
30,0.6027948754682354,0.6503577966383758,0.563036607197246,0.5041322015164578,0.5868000690894901,0.5175927669827796,0.527098004787129,0.6066783001610143,0.4892231094062744
50,0.6064865085596447,0.6566025215660252,0.5686631943126155,0.5079284209714874,0.5907921220922826,0.5191315873153528,0.5408401458371924,0.6095538092924283,0.489086172592302
75,0.6069347692524719,0.6571665285832643,0.5685380727979414,0.5080838824356962,0.5914754432184084,0.5192343010571673,0.5414940058347674,0.6101717603554009,0.48905595579903793
100,0.6071110193159608,0.6579426867649495,0.5692857645464517,0.5081705697004324,0.5916424478686397,0.5189488199754796,0.5418048169902319,0.6104793123055825,0.48913846666283955
