n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6572042691378559,0.27145214521452143,0.6164745950655419,0.611028644518496,0.26494969309624755,0.559819285531191,0.9553820594258421,0.0377957197757642,0.8141497098962164
2,0.7005449289137065,0.32985593641331346,0.6658330363153935,0.6536216515488091,0.3162222392991624,0.6110846583412073,0.9516555822058296,0.0473310079915228,0.85306175260821
3,0.7206233416498357,0.34822804314329736,0.6802126648449567,0.6947386028120568,0.34547491212484066,0.6376623054953807,0.9514328613327901,0.04636076633654802,0.8498338372694832
5,0.7615120193259672,0.3614951356886841,0.6933963011365887,0.7296605154175473,0.3619254153274213,0.6525137557090425,0.9583280352954522,0.043896646328979154,0.8409945248018305
10,0.7721450635618392,0.36199095022624433,0.6962635143162648,0.7357028024278657,0.36609833314261736,0.6574272438297348,0.9698230496004085,0.04031590823617901,0.8262237476505679
20,0.787199318838858,0.37021927587965325,0.7023939645954616,0.740849477718094,0.35140215598266006,0.643486653631664,0.9763459252320567,0.04202932643299616,0.8336057312522132
30,0.7981497762464854,0.3898128898128898,0.7184507544255674,0.7491826327373589,0.3562775330396476,0.6463804601294385,0.9741328573078061,0.04285942747481209,0.83696984555038
50,0.8038921230842343,0.3945291951604419,0.7210466912201496,0.734218003164806,0.345066358915176,0.6339080591168295,0.9688798845114137,0.04346592060982038,0.8393465173926071
75,0.810168310165934,0.4025491237387148,0.7270385331274009,0.7352756315359129,0.3486562644572486,0.6359121101681962,0.9677875993490096,0.04354183590576767,0.839639345155403
100,0.8132172983248188,0.4019088016967126,0.7266999326759336,0.7358813106875444,0.3515825852404434,0.6382518814210468,0.9690706519905172,0.04368200154842916,0.8401773310451908
