n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9888911128903123,0.09090909090909091,0.9919935948759007,0.9809429017711193,0.026158445440956652,0.7406607577463766,0.9634728993509806,0.026787643119464247,0.8367849387173724
2,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
3,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
10,0.9892413931144916,0.013888888888888888,0.9431545236188952,0.9761967379853972,0.008286475288546907,0.9391369101674598,0.9691310193452289,0.017066878348878746,0.9476510067114094
20,0.9907926341072858,0.0182648401826484,0.9569655724579664,0.9805290005863946,0.01122784505573823,0.9552145010715972,0.9654754457784239,0.01840359512090734,0.9515193151191672
30,0.9909927942353883,0.011461318051575931,0.9309447558046438,0.9814550889192177,0.0068721774985273905,0.926506593047332,0.9698530396748635,0.012881965248651888,0.9303493103630502
50,0.9943955164131304,0.015065913370998116,0.947658126501201,0.981750828995916,0.008895101340618845,0.9433361182752733,0.9593256760260984,0.017191404297851074,0.9480367806373197
75,0.9947708166533227,0.012539184952978056,0.9369495596477182,0.9828749422686724,0.00738435571496387,0.9316393621272113,0.9608185682736279,0.016490891658676895,0.945790836548116
100,0.9953212570056045,0.012030075187969926,0.9342473979183347,0.9829133952247759,0.007057518778041035,0.9284499981837335,0.9601841121116299,0.016212649637100576,0.9448448977434868
