n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6032374833347086,0.5023900573613767,0.576309527847257,0.5435238684240209,0.47018059463476136,0.5328960007209891,0.6512289130166509,0.6189710452325754,0.6026614446901499
2,0.6292037833776195,0.5358807082945014,0.6004776385157602,0.554491649392969,0.47221698538512613,0.5294515092308713,0.6285502760618993,0.6084613849531032,0.5950505780074102
3,0.6344147612001473,0.5357309668379262,0.6008412755543608,0.562862647038985,0.4770880194394733,0.5344709691352042,0.6293780301717966,0.6054954945843994,0.596283461366234
5,0.638629069802956,0.519588638589618,0.5968200067530183,0.5395836954433147,0.448214025243035,0.5209044179288227,0.6300436556106865,0.5674660633484163,0.5949217512778517
10,0.6430241844785538,0.5291656411518583,0.606147254607855,0.5502513860052158,0.45699211164005704,0.5292302437929469,0.6333794368124447,0.5583743385015318,0.5948167041389801
20,0.6507479701713009,0.5464165464165465,0.6164029159134486,0.5574923445353049,0.4702187954760142,0.5383782081039856,0.6366621854582237,0.5764100243253946,0.6033866526711955
30,0.6518170293165699,0.548621190130624,0.6194692789136584,0.5658759736612247,0.47922215393020556,0.547387494239739,0.6338223845141773,0.5540188701779529,0.6001614957797725
50,0.6523154904822435,0.543509965969859,0.6159780258609212,0.5659683738577962,0.479344784204986,0.5481919480479729,0.6274210459984181,0.518885277294832,0.5871779868718812
75,0.6540147975807253,0.5454102751400048,0.6179621679112166,0.5652736499450471,0.47811886535279846,0.5475418641309615,0.6273102426272686,0.5238232312486703,0.5891599168902597
100,0.6489795635984307,0.5322461082283173,0.6095976723179743,0.5588288211998007,0.4700968491398439,0.5444917077749494,0.6281242164685192,0.5234179837059539,0.5898127634081187
