n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5664150788122467,0.0,0.5,0.5972943437341159,0.0,0.5,,0.0,1.0
2,0.5535020970553053,0.0,0.5,0.604385815952243,0.0,0.5,,0.0,1.0
3,0.6390904628805046,0.02722430459656737,0.5,0.5800110188961212,0.06920147273124062,0.5,,0.0,0.0
5,0.6326714456602565,0.0,0.5,0.6117583325737423,0.0,0.5,,0.0,1.0
10,0.6455124192112016,0.030377000271223215,0.5446127575028142,0.6203817186469591,0.07367544971343182,0.529707752275143,,0.0,0.38308993569233696
20,0.6948953529724694,0.02778896496173983,0.510444128979923,0.6142745600629899,0.06980992065757177,0.5047469511282866,,0.0,0.03048542254041668
30,0.6297661349815864,0.0,0.5,0.6298628903984685,0.0,0.5,,0.0,1.0
50,0.7475215951140228,0.03256379100850547,0.5820393899582352,0.6135421536252198,0.07144793926247288,0.5171311150539822,,0.0,0.336913020981827
75,0.7483592415919398,0.032723772858517804,0.5852297943504419,0.6117319036574519,0.0716610180922994,0.5184570895614113,,0.0,0.30585738270979185
100,0.7575836397355975,0.02809446254071661,0.5159196917460961,0.6113498138515635,0.07037709215567654,0.5090299712912723,,0.0,0.051203260789220814
