n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5698098098098099,0.002127659574468085,0.5305305305305306,,0.0,0.05528169527615325,,0.0,0.05894341136841216
2,0.760960960960961,0.007407407407407408,0.6466466466466467,,0.0,0.8939504426327534,,0.0,0.9530733571979176
3,0.7774574574574575,0.001998800719568259,0.5002002002002002,,0.0,0.0005614945965260257,,0.0,0.0013833011267040474
5,0.5,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
10,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
20,0.9314114114114115,0.017341040462427744,0.7661661661661662,,0.0,0.9343999299954788,,0.0,0.9776665505116102
30,0.9308508508508508,0.018018018018018018,0.7674674674674675,,0.0,0.936879256785334,,0.0,0.9790920898406564
50,0.7928328328328329,0.0,0.5,,0.0,1.0,,0.0,1.0
75,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
100,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
