n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5169958754320892,0.18289585097375105,0.5171389556937618,0.5334146398482291,0.21243144057514715,0.5327517514848179,,0.0,0.48767172469139713
2,0.5235083280162107,0.18145277060005743,0.5150530076215984,0.5510085696191201,0.2239343201488312,0.5533514145752575,,0.0,0.5109132955301422
3,0.5578751989538707,0.20010261672652643,0.5499312864164464,0.5918126739251042,0.24023197074834274,0.5840056885891434,,0.0,0.4196998975723593
5,0.5763886454308973,0.21637816245006658,0.5782300642962818,0.6488468322686006,0.2632195034103955,0.6169270174276352,,0.0,0.6829917318718915
10,0.612022861289712,0.2201371346084446,0.5822538405985094,0.6999548694798671,0.2807778983390368,0.6403419693665212,,0.0,0.6173218867804986
20,0.6599413831062747,0.21096654275092938,0.5748557365324882,0.7461154141419011,0.2546840634353657,0.6171769130499569,,0.0,0.3087190209184697
30,0.6650420958344142,0.24469160768452983,0.6015015320324496,0.7455727888155824,0.32455420678107993,0.6654258937644415,,0.0,0.8010158287663277
50,0.6661887099375268,0.2027168234064786,0.5562916751390048,0.7451531949085621,0.29324459234608985,0.5987992717906916,,0.0,0.9502011594386542
75,0.6664923994362683,0.2525622254758419,0.6304173298462359,0.7455646820062699,0.31208845512384953,0.6830143120517598,,0.0,0.6723582644322658
100,0.6666159787128123,0.2520528382720457,0.6315014969744989,0.7456353815671699,0.3096623138381327,0.6822069575055619,,0.0,0.6578705610289226
