n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9929974445219619,0.7494033412887828,0.9830723939515589,0.9965883191885953,0.7465277777777778,0.9837129395296869,0.9980754933500351,0.8242704717830055,0.9816365569392197
2,0.9685768442769375,0.26109215017064846,0.8923074524599237,0.9511637228918005,0.22974151267122325,0.867963138065688,0.9875695777384452,0.5157064887810795,0.9268141548307518
3,0.9918281866499333,0.16684155299055614,0.8359843007643049,0.9866163269970285,0.1575219635902545,0.8256352770925341,0.9986243835488966,0.37468060394889663,0.8779816201883308
5,0.9959114949741398,0.4583941605839416,0.9555987314851264,0.9975190863547985,0.4491718426501035,0.9591013569786601,0.9996669119897226,0.7941647174689154,0.980981780108933
10,0.9999337420539184,0.1500707881075979,0.8139847139020864,0.9999420259080074,0.15429382540809083,0.8213051204570846,0.9999960676701317,0.3980995865983834,0.8894605038017428
20,0.9998778775111438,0.0,0.5,0.9998362531101191,0.0,0.5,0.9999790369409075,0.0,0.5
30,0.9999922049475198,0.9607250755287009,0.9986573022102871,0.9999707956675622,0.944088589729671,0.9980692375175269,0.9999981383342295,0.9930705266399754,0.999274590516603
50,0.9999025618439976,0.0,0.5,0.9998735918881494,0.0,0.5,0.9999929836275909,0.0,0.5
75,0.9999779140179728,0.9813664596273292,0.996338923685137,0.9999600141212734,0.9646194926568759,0.9973615985215802,0.9999973058534979,0.9960602549246813,0.9993518970658721
100,0.999985709070453,0.9325513196480938,0.9976244577566619,0.9999647168206862,0.8951106536284097,0.9961797146220579,0.9999979925622869,0.9907862407862408,0.9993201056102619
