n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9065827919019798,0.9457798857389242,0.7990208114909467,0.9026199986964193,0.9398934163365402,0.7753474722333622,0.9368373642179142,0.9333468335130048,0.843503067817948
2,0.9779471469458336,0.8970621726258255,0.9005481221068987,0.9739653326656456,0.8957986946919125,0.8920855415815234,0.9835827028193354,0.8680398892534865,0.878888021344834
3,0.992086722557193,0.8232863393291201,0.8498244164428836,0.9900538700684609,0.8247376351476381,0.8497501937108627,0.9963445200290895,0.7443676950765794,0.7960408113878474
5,0.9946006269820545,0.9573643410852714,0.9560579899937509,0.9926815736386267,0.956391812659634,0.9538631965185,0.9985784126983814,0.973206186765903,0.9706597250676534
10,0.9982850884543581,0.8444921828380475,0.8654203676926255,0.9974848697759934,0.8349202466849526,0.8572995619319094,0.9994161131190835,0.864153517465057,0.8801079270171097
20,0.9999506313342922,0.9846435472388895,0.5251572327044025,0.9997980357015971,0.9848143047550831,0.5270239190432383,0.9999926780333984,0.9677115145268029,0.5436298822070675
30,0.9999584263867723,0.9934504626260526,0.9934930799421606,0.9998258000802359,0.9899199503192142,0.9892412955172241,0.9999905072608583,0.9957611930108047,0.9956353298696468
50,0.9999805123687995,0.9906171809841534,0.9907043999173725,0.9999094501867348,0.9864535716592759,0.9866346247572488,0.9999906688393969,0.9917799142003553,0.9918469331097236
75,0.9999701189654926,0.9985522233712513,0.9955126481222368,0.9998959163455202,0.9956019128666641,0.9953986129771781,0.9999896150663192,0.998683867161351,0.9983982192583816
100,0.9999740164917327,0.9830900115534082,0.9833712042966329,0.9999157963304237,0.9777878269933854,0.9782704867021077,0.9999931539875719,0.9826559608966563,0.9829516481773164
