n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9689414141414142,0.1340782122905028,0.9175757575757575,0.9503164356016899,0.11938186962672762,0.8970548787723611,0.9409512091789324,0.022434875066454012,0.8758440169287044
2,0.9796525252525253,0.12195121951219512,0.9272727272727272,0.9732901481547732,0.10394824894044166,0.9107803718697864,0.9361944608168917,0.020680863119127438,0.881286264285125
3,0.9901333333333333,0.25510204081632654,0.9705050505050505,0.9863860558061402,0.23340122199592667,0.9489453321834888,0.956965756708777,0.04128570082005844,0.9372252130350986
5,0.9921050505050505,0.26881720430107525,0.9725252525252526,0.988282338452782,0.2215082215082215,0.9570559160145815,0.9615171520225791,0.05124621476822735,0.9501788538902975
10,0.9922505050505049,0.3508771929824561,0.9813131313131314,0.9900426147379637,0.3035985808413583,0.9778100769670994,0.963330704459918,0.057563242127000515,0.9613560828976058
20,0.9923070707070707,0.0,0.5,0.989421061007818,0.0,0.5,0.964314182522099,0.0,0.5
30,0.9918787878787878,0.2840909090909091,0.9745454545454546,0.9906980155438486,0.2238139534883721,0.969438584153774,0.9690870686482449,0.04675542509697033,0.9518776858104532
50,0.9918141414141414,0.3952569169960474,0.9845454545454546,0.9905047215528922,0.3010133867133742,0.9795365975152368,0.9670163799254948,0.05851482550511677,0.9620229048032346
75,0.9920040404040404,0.3448275862068966,0.9808080808080808,0.9905969705902068,0.27760470751124955,0.9770679500703234,0.9664697606304435,0.052224824355971894,0.9571646309193675
100,0.9921616161616162,0.37037037037037035,0.9828282828282828,0.9906090303425683,0.2952147239263804,0.978961556493202,0.9662182962944751,0.05844581313065129,0.9619752746671183
