n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5231667879475572,0.0,0.5,0.47191155688633396,0.0,0.5,0.7659219870739606,0.0,0.5
2,0.5888303999802662,0.18701700154559506,0.56323832311696,0.510523288036498,0.16248557029028352,0.518628899900399,0.6697744939335694,0.026863796685509977,0.6202446014041143
3,0.5884569370613846,0.0,0.49978046103183316,0.5104269841404812,0.0,0.49992806905370846,0.6767124061625129,0.0,0.5
5,0.6559950172054416,0.17142857142857143,0.5281392222400375,0.5633689442970001,0.17654120170759255,0.5307307826883968,0.7081737594998628,0.018654170907098203,0.5325886626823058
10,0.6714204664586392,0.20893970893970895,0.6222671715240692,0.5782243599538648,0.18608188373010906,0.5575211179562182,0.703559949189806,0.022556390977443608,0.6149871626876325
20,0.6904611551696492,0.2270515731430425,0.6421058473834163,0.5947737486026912,0.18913771906564134,0.5616126723982134,0.7017416013815557,0.026339073027972504,0.6595341196441038
30,0.6944698380591768,0.20552972840714462,0.6182328346427558,0.5953339250849554,0.1932051855163165,0.5754793778282495,0.6954857923243047,0.021193601260434798,0.5896587725185635
50,0.6985177419553769,0.18189455996639362,0.5602819472366457,0.5988518785364224,0.18300623798560933,0.5505969323042574,0.6905201844469006,0.019254077639644006,0.5474288088465595
75,0.7072442926035102,0.19349046015712681,0.5914046793867709,0.6092853694911005,0.1900435604370645,0.5695334765247038,0.6823651628730574,0.019966244119653823,0.5638882674422321
100,0.7039082869793658,0.17854217854217855,0.5504803956634887,0.603905066697701,0.18155482596229555,0.5463341044126023,0.6940753319553441,0.019145785746260947,0.5448187328880224
