n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6177179185424566,0.38421955403087477,0.6031911780272605,0.5881939153005502,0.34864172589198744,0.5769092388653144,0.6160174367847562,0.41130627465816355,0.598957595332388
2,0.617831493346783,0.38322487346348516,0.6015298974464349,0.5882219550149519,0.3493559423928707,0.5770555254188793,0.6160321226685568,0.40995523342570883,0.5964107707123807
3,0.6178332368196564,0.38301931791080374,0.6010043649088723,0.5882211297876367,0.3494922969187675,0.5768408752159283,0.6160193528422699,0.4093986037691876,0.5953264637149154
5,0.6484339254914415,0.355484387510008,0.5896064109988232,0.6246344688204302,0.33168657919812355,0.5786701176604714,0.6620919309741026,0.41859941454627336,0.6198910660676862
10,0.647253718889906,0.3500217675228559,0.5886107634543178,0.6240042928167102,0.3266566409624676,0.578163566370223,0.6659590456614856,0.4100027670171555,0.6137762622429267
20,0.6471610657600607,0.3495899870522227,0.5879756411932826,0.6239958839047758,0.32639715569099886,0.5776616595142059,0.6660218667356645,0.41074189890381774,0.6142550208228442
30,0.6471608166925075,0.3501509271237602,0.5883479971855367,0.6239952237229236,0.3262593579494988,0.5775309296107062,0.6660263543952427,0.41090715524494736,0.6143863411152458
50,0.6471606921587307,0.35071090047393366,0.5887203531777907,0.6239952242376183,0.32632946694555365,0.5775456395878397,0.666026048020564,0.41075626791138264,0.6142345630994634
55,0.6471606921587307,0.35,0.5882228407399797,0.6239952168603266,0.3263398092099008,0.5775546000810252,0.6660260201388473,0.41073604365808036,0.6142174096837274
75,0.6471606921587307,0.35,0.5882228407399797,0.6239952168603266,0.3263398092099008,0.5775546000810252,0.6660260201388473,0.41073604365808036,0.6142174096837274
100,0.6471606921587307,0.35,0.5882228407399797,0.6239952168603266,0.3263398092099008,0.5775546000810252,0.6660260201388473,0.41073604365808036,0.6142174096837274
