n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5170072394108972,0.0,0.5,0.46349854356368486,0.0,0.5,0.5218031313104835,0.0,0.5
2,0.5316505567975196,0.0,0.5,0.4620024083637674,0.0,0.5,0.5498581400515694,0.0,0.5
3,0.5284157442877234,0.14448457904973605,0.5002289564667095,0.45691349258841385,0.10371125611745514,0.4504044063541897,0.5539135342786212,0.09121538022270867,0.5178954400297788
5,0.5684475521183555,0.15896405447644563,0.5328178068217259,0.5415981597478894,0.12497121237045566,0.5052120692221683,0.5428688432476834,0.09063300351279863,0.513057314433031
10,0.5768060679883018,0.16061842387803307,0.537513019224319,0.5461439279630698,0.12550881413447829,0.5061819758816852,0.5475333683156233,0.09201261166579086,0.5185436202741857
20,0.5724564300658357,0.1605808242579543,0.5373573502247572,0.5406470501667036,0.12562376237623762,0.5064363785990131,0.5527979029214534,0.09274842865305698,0.5218371814178139
28,0.5722483364547375,0.16051227321237993,0.5371396276033767,0.540677605726958,0.1255998099612004,0.5063389931643912,0.552846254098928,0.09274737825770948,0.52183087245391
30,0.5722483364547375,0.16051227321237993,0.5371396276033767,0.540677605726958,0.1255998099612004,0.5063389931643912,0.552846254098928,0.09274737825770948,0.52183087245391
50,0.5722483364547375,0.16051227321237993,0.5371396276033767,0.540677605726958,0.1255998099612004,0.5063389931643912,0.552846254098928,0.09274737825770948,0.52183087245391
75,0.5722483364547375,0.16051227321237993,0.5371396276033767,0.540677605726958,0.1255998099612004,0.5063389931643912,0.552846254098928,0.09274737825770948,0.52183087245391
100,0.5722483364547375,0.16051227321237993,0.5371396276033767,0.540677605726958,0.1255998099612004,0.5063389931643912,0.552846254098928,0.09274737825770948,0.52183087245391
