n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7695970867290531,0.7196212519726459,0.6976805821345192,0.7931358268099862,0.728776268871861,0.709795385393339,0.8338527140807274,0.8486322970972517,0.7809157025655799
2,0.7745475946416809,0.8425904041597732,0.6921084187865961,0.793175708356731,0.8518565919251903,0.7363147566968871,0.8445076955537457,0.9252448649676683,0.7730092422853817
3,0.7745735781499483,0.8277184989809375,0.7055945091650329,0.793215226034911,0.8364097371859774,0.7365522869918768,0.8445175061810992,0.9166806712601734,0.7778320824121923
5,0.7809694187099447,0.8568094293383125,0.6999119159069738,0.7954862151101696,0.8656011118832523,0.7350762291537026,0.8493848708548757,0.9303676761474011,0.7659641545599322
10,0.7824043579540065,0.762098310682078,0.7092244052699752,0.7979672624037776,0.7703116406966086,0.7239978368203519,0.8502855350951151,0.8777891069228027,0.7850828306384972
20,0.7824115034187801,0.7593582887700535,0.7105099393415,0.7980748648914631,0.7662110704365261,0.723419697094561,0.8501273207270835,0.8750470455400828,0.7850677212888513
30,0.7822789875266167,0.8065501649761702,0.7087631979982305,0.7980208838689574,0.8164921027827451,0.7341105426767506,0.8501003309641306,0.9053934141271713,0.7824413218580069
50,0.7822426106150426,0.7466872507397401,0.705391837800548,0.797942862515991,0.7553503480278422,0.7195751265077877,0.8500488655651596,0.867960527147063,0.7850461268440564
75,0.7822244221592556,0.8270153550863724,0.7050780869382203,0.797920866575026,0.8359448041829703,0.7355323978947386,0.8500757973705931,0.9158357559885635,0.7770237005929448
79,0.7822607990708297,0.7506090524426209,0.7048292948465609,0.7979368233325133,0.758819174532667,0.7205933506044553,0.8500513155875653,0.8702235221441988,0.7852336018560232
100,0.7822607990708297,0.7506090524426209,0.7048292948465609,0.7979368233325133,0.758819174532667,0.7205933506044553,0.8500513155875653,0.8702235221441988,0.7852336018560232
