n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6331025169520744,0.011137629276054098,0.5,0.5484704763056836,0.04525725363305276,0.5,,0.0,0.0
2,0.6552587346282037,0.0,0.5,0.5003164453949449,0.0,0.5,,0.0,1.0
3,0.5,0.011137629276054098,0.5,0.5,0.04525725363305276,0.5,,0.0,0.0
5,0.41745560855074126,0.0,0.5,0.412066623040673,0.0,0.5,,0.0,1.0
10,0.610224399494311,0.0,0.5,0.5574489738398627,0.0,0.5,,0.0,1.0
20,0.619300224112171,0.011137629276054098,0.5,0.5293705001877116,0.04525725363305276,0.5,,0.0,0.0
30,0.5,0.011137629276054098,0.5,0.5,0.04525725363305276,0.5,,0.0,0.0
50,0.3945631249281692,0.011137629276054098,0.5,0.4393147004139767,0.04525725363305276,0.5,,0.0,0.0
75,0.5311925353407654,0.0,0.5,0.43810167325259286,0.0,0.5,,0.0,1.0
100,0.6114742558326629,0.0,0.5,0.5555356548451509,0.0,0.5,,0.0,1.0
