n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6406261816406653,0.5801081980857262,0.6095284193629793,0.6162966393668206,0.5508279315535621,0.5927960916537149,0.6476650486627635,0.6500064622145086,0.6222447447377937
2,0.6678644210839859,0.5572940635066728,0.6116548554313066,0.6478910827420833,0.5336843526393952,0.5974141872358995,0.6912249290733694,0.6464051895008709,0.6402578807999451
3,0.6710239575705674,0.49536279323513366,0.601361911972166,0.6507498084364913,0.4755109444914742,0.5890485035037574,0.6976588411235083,0.6107166668616144,0.645564340078409
5,0.669164029306757,0.5680552461572733,0.613935602910818,0.6500227240257535,0.5487845705373693,0.6042162174292091,0.6955114725560564,0.6551433797555334,0.6408681469228205
10,0.6835533822330888,0.5650102110279102,0.6153992859477326,0.6693468920914344,0.5440457583718533,0.6036551256261034,0.7188494053079302,0.656261663883705,0.6459351085376848
20,0.6836035230991357,0.5687416032243618,0.6157587943024752,0.6694040178733643,0.5482093437682207,0.6048910583567881,0.717684992101147,0.6567416878302245,0.644034180095345
30,0.6844237316884483,0.5707954797252383,0.6152528349033382,0.6709683787793584,0.5516154452324665,0.605791301408589,0.7184782555806611,0.6577239457264916,0.642787514297482
50,0.6863321460042445,0.5758241758241758,0.6180937369424828,0.6738999534113689,0.5544645300452329,0.6065171818964035,0.7198599430390851,0.6589462602287409,0.6421732665185044
75,0.6869651951232629,0.5762415226427477,0.6174363620567684,0.6748958377875891,0.5556820368113897,0.6068337779904887,0.7202980028175425,0.6597058514750375,0.6422941036561027
100,0.6876344019295133,0.5762415226427477,0.6174363620567684,0.6758834847555393,0.5557193915984164,0.6067985901375847,0.7206832766063411,0.6597713871343244,0.6422952758859801
